,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,DLN5,B00306050,彈性紗捲,3.0,2019-01-01,1,False,2019,3.0,3.0
1,DLN5,B00306050,彈性紗捲,1.0,2019-01-01,1,False,2019,3.0,3.0
2,DLN5,B00306050,彈性紗捲,2.0,2019-01-02,1,True,2019,3.0,3.0
3,DLN5,B00306050,彈性紗捲,1.0,2019-01-03,1,True,2019,3.0,3.0
4,DLN5,B00306050,彈性紗捲,1.0,2019-01-03,1,True,2019,3.0,3.0
5,DLN5,B00306050,彈性紗捲,1.0,2019-01-04,1,True,2019,3.0,3.0
6,DLN5,B00306050,彈性紗捲,1.0,2019-01-05,1,False,2019,3.0,3.0
7,DLN5,B00306050,彈性紗捲,1.0,2019-12-30,1,True,2019,3.0,3.0
8,DLN5,B00306050,彈性紗捲,1.0,2019-12-31,1,True,2019,3.0,3.0
9,DLN5,B00306050,彈性紗捲,1.0,2019-12-31,1,True,2019,3.0,3.0
10,DLN5,B00306050,彈性紗捲,1.0,2019-01-07,2,True,2019,5.0,2.0
11,DLN5,B00306050,彈性紗捲,1.0,2019-01-07,2,True,2019,5.0,2.0
12,DLN5,B00306050,彈性紗捲,1.0,2019-01-08,2,True,2019,5.0,2.0
13,DLN5,B00306050,彈性紗捲,1.0,2019-01-09,2,True,2019,5.0,2.0
14,DLN5,B00306050,彈性紗捲,2.0,2019-01-09,2,True,2019,5.0,2.0
15,DLN5,B00306050,彈性紗捲,1.0,2019-01-09,2,True,2019,5.0,2.0
16,DLN5,B00306050,彈性紗捲,1.0,2019-01-10,2,True,2019,5.0,2.0
17,DLN5,B00306050,彈性紗捲,1.0,2019-01-10,2,True,2019,5.0,2.0
18,DLN5,B00306050,彈性紗捲,1.0,2019-01-10,2,True,2019,5.0,2.0
19,DLN5,B00306050,彈性紗捲,1.0,2019-01-11,2,True,2019,5.0,2.0
20,DLN5,B00306050,彈性紗捲,1.0,2019-01-12,2,False,2019,5.0,2.0
21,DLN5,B00306050,彈性紗捲,1.0,2019-01-14,3,True,2019,5.0,2.0
22,DLN5,B00306050,彈性紗捲,1.0,2019-01-15,3,True,2019,5.0,2.0
23,DLN5,B00306050,彈性紗捲,1.0,2019-01-21,4,True,2019,5.0,2.0
24,DLN5,B00306050,彈性紗捲,1.0,2019-01-22,4,True,2019,5.0,2.0
25,DLN5,B00306050,彈性紗捲,1.0,2019-01-24,4,True,2019,5.0,2.0
26,DLN5,B00306050,彈性紗捲,1.0,2019-01-26,4,False,2019,5.0,2.0
27,DLN5,B00306050,彈性紗捲,1.0,2019-01-27,4,False,2019,5.0,2.0
28,DLN5,B00306050,彈性紗捲,1.0,2019-01-30,5,True,2019,5.0,2.0
29,DLN5,B00306050,彈性紗捲,1.0,2019-01-30,5,True,2019,5.0,2.0
30,DLN5,B00306050,彈性紗捲,1.0,2019-01-31,5,True,2019,5.0,2.0
31,DLN5,B00306050,彈性紗捲,2.0,2019-02-01,5,True,2019,5.0,2.0
32,DLN5,B00306050,彈性紗捲,1.0,2019-02-01,5,True,2019,5.0,2.0
33,DLN5,B00306050,彈性紗捲,1.0,2019-02-04,6,False,2019,0.0,7.0
34,DLN5,B00306050,彈性紗捲,2.0,2019-02-04,6,False,2019,0.0,7.0
35,DLN5,B00306050,彈性紗捲,3.0,2019-02-05,6,False,2019,0.0,7.0
36,DLN5,B00306050,彈性紗捲,1.0,2019-02-09,6,False,2019,0.0,7.0
37,DLN5,B00306050,彈性紗捲,1.0,2019-02-11,7,True,2019,5.0,2.0
38,DLN5,B00306050,彈性紗捲,1.0,2019-02-11,7,True,2019,5.0,2.0
39,DLN5,B00306050,彈性紗捲,2.0,2019-02-13,7,True,2019,5.0,2.0
40,DLN5,B00306050,彈性紗捲,1.0,2019-02-13,7,True,2019,5.0,2.0
41,DLN5,B00306050,彈性紗捲,1.0,2019-02-13,7,True,2019,5.0,2.0
42,DLN5,B00306050,彈性紗捲,3.0,2019-02-14,7,True,2019,5.0,2.0
43,DLN5,B00306050,彈性紗捲,1.0,2019-02-15,7,True,2019,5.0,2.0
44,DLN5,B00306050,彈性紗捲,2.0,2019-02-15,7,True,2019,5.0,2.0
45,DLN5,B00306050,彈性紗捲,1.0,2019-02-16,7,False,2019,5.0,2.0
46,DLN5,B00306050,彈性紗捲,1.0,2019-02-17,7,False,2019,5.0,2.0
47,DLN5,B00306050,彈性紗捲,1.0,2019-02-17,7,False,2019,5.0,2.0
48,DLN5,B00306050,彈性紗捲,2.0,2019-02-19,8,True,2019,5.0,2.0
49,DLN5,B00306050,彈性紗捲,2.0,2019-02-20,8,True,2019,5.0,2.0
50,DLN5,B00306050,彈性紗捲,1.0,2019-02-23,8,False,2019,5.0,2.0
51,DLN5,B00306050,彈性紗捲,1.0,2019-02-28,9,True,2019,3.0,4.0
52,DLN5,B00306050,彈性紗捲,2.0,2019-03-02,9,False,2019,3.0,4.0
53,DLN5,B00306050,彈性紗捲,2.0,2019-03-05,10,True,2019,5.0,2.0
54,DLN5,B00306050,彈性紗捲,1.0,2019-03-05,10,True,2019,5.0,2.0
55,DLN5,B00306050,彈性紗捲,1.0,2019-03-08,10,True,2019,5.0,2.0
56,DLN5,B00306050,彈性紗捲,1.0,2019-03-16,11,False,2019,5.0,2.0
57,DLN5,B00306050,彈性紗捲,1.0,2019-03-17,11,False,2019,5.0,2.0
