,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-12-30,1,True,2019,3.0,3.0
1,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-01-11,2,True,2019,5.0,2.0
2,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-02-01,5,True,2019,5.0,2.0
3,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-02-03,5,True,2019,5.0,2.0
4,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-03-24,12,False,2019,5.0,2.0
5,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-04-20,16,False,2019,5.0,2.0
6,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-04-26,17,True,2019,5.0,2.0
7,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-04-27,17,False,2019,5.0,2.0
8,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-05-13,20,True,2019,5.0,2.0
9,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-05-17,20,True,2019,5.0,2.0
10,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-06-09,23,False,2019,4.0,3.0
11,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-06-15,24,False,2019,5.0,2.0
12,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-06-16,24,False,2019,5.0,2.0
13,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-06-18,25,True,2019,5.0,2.0
14,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-06-23,25,False,2019,5.0,2.0
15,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-07-05,27,True,2019,5.0,2.0
16,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-07-05,27,True,2019,5.0,2.0
17,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-07-08,28,True,2019,5.0,2.0
18,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-07-16,29,True,2019,5.0,2.0
19,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-08-07,32,True,2019,5.0,2.0
20,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-08-27,35,True,2019,5.0,2.0
21,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-09-04,36,True,2019,4.0,3.0
22,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-09-05,36,True,2019,4.0,3.0
23,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-10-25,43,True,2019,5.0,2.0
24,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-10-25,43,True,2019,5.0,2.0
25,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-11-01,44,True,2019,5.0,2.0
26,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-11-11,46,True,2019,5.0,2.0
27,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-11-25,48,True,2019,5.0,2.0
28,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-11-28,48,True,2019,5.0,2.0
29,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-12-12,50,True,2019,5.0,2.0
30,DLN5,C00120142,二叉留置導尿管14FR,1.0,2019-12-24,52,True,2019,5.0,2.0
31,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-02-07,6,True,2020,5.0,2.0
32,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-02-23,8,False,2020,5.0,2.0
33,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-02-25,9,True,2020,4.0,3.0
34,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-03-01,9,False,2020,4.0,3.0
35,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-03-08,10,False,2020,5.0,2.0
36,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-03-08,10,False,2020,5.0,2.0
37,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-03-23,13,True,2020,5.0,2.0
38,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-03-27,13,True,2020,5.0,2.0
39,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-03-28,13,False,2020,5.0,2.0
40,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-04-18,16,False,2020,5.0,2.0
41,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-04-19,16,False,2020,5.0,2.0
42,DLN5,C00120142,二叉留置導尿管14FR,2.0,2020-04-22,17,True,2020,5.0,2.0
43,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-04-22,17,True,2020,5.0,2.0
44,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-04-23,17,True,2020,5.0,2.0
45,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-04-29,18,True,2020,4.0,3.0
46,DLN5,C00120142,二叉留置導尿管14FR,1.0,2020-05-01,18,False,2020,4.0,3.0
