,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,DLN5,C02911226,灌腸管,1.0,2019-06-19,25,True,2019,5.0,2.0
1,DLN5,C02911226,灌腸管,1.0,2019-12-20,51,True,2019,5.0,2.0
2,DLN5,C02911226,灌腸管,1.0,2019-12-21,51,False,2019,5.0,2.0
3,DLN5,C02911226,灌腸管,1.0,2020-03-12,11,True,2020,5.0,2.0
4,DLN5,C02911226,灌腸管,1.0,2020-03-23,13,True,2020,5.0,2.0
5,DLN5,C02911226,灌腸管,1.0,2020-04-15,16,True,2020,5.0,2.0
6,DLN5,C02911226,灌腸管,1.0,2020-04-16,16,True,2020,5.0,2.0
7,DLN5,C02911226,灌腸管,1.0,2020-08-31,36,True,2020,4.0,3.0
8,DLN5,C02911226,灌腸管,3.0,2020-09-25,39,True,2020,5.0,2.0
9,DLN5,C02911226,灌腸管,1.0,2020-10-20,43,True,2020,5.0,2.0
10,DLN5,C02911226,灌腸管,1.0,2020-11-03,45,True,2020,5.0,2.0
11,DLN5,C02911226,灌腸管,1.0,2020-12-01,49,True,2020,5.0,2.0
12,DLN5,C02911226,灌腸管,1.0,2020-12-24,52,True,2020,5.0,2.0
13,DLN5,C02911226,灌腸管,1.0,2021-01-14,2,True,2021,5.0,2.0
14,DLN5,C02911226,灌腸管,1.0,2021-06-30,26,True,2021,5.0,2.0
15,DLN5,C02911226,灌腸管,1.0,2021-07-07,27,True,2021,5.0,2.0
16,DLN5,C02911226,灌腸管,1.0,2021-07-22,29,True,2021,5.0,2.0
17,DLN5,C02911226,灌腸管,1.0,2021-09-02,35,True,2021,4.0,3.0
18,DLN5,C02911226,灌腸管,1.0,2021-09-24,38,True,2021,3.0,4.0
19,DLN5,C02911226,灌腸管,1.0,2021-09-24,38,True,2021,3.0,4.0
20,DLN5,C02911226,灌腸管,1.0,2021-09-28,39,True,2021,5.0,2.0
21,DLN5,C02911226,灌腸管,1.0,2021-09-29,39,True,2021,5.0,2.0
22,DLN5,C02911226,灌腸管,1.0,2021-09-29,39,True,2021,5.0,2.0
23,DLN5,C02911226,灌腸管,1.0,2021-11-08,45,True,2021,5.0,2.0
24,DLN5,C02911226,灌腸管,1.0,2021-11-29,48,True,2021,5.0,2.0
25,DLN5,C02911226,灌腸管,2.0,2021-11-30,48,True,2021,5.0,2.0
26,DLN5,C02911226,灌腸管,1.0,2021-12-15,50,True,2021,5.0,2.0
27,DLN5,C02911226,灌腸管,1.0,2022/2/14,7,True,2022,5.0,2.0
28,DLN5,C02911226,灌腸管,1.0,2022/4/11,15,True,2022,5.0,2.0
29,DLN5,C02911226,灌腸管,1.0,2022/4/24,16,True,2022,5.0,2.0
30,DLN5,C02911226,灌腸管,1.0,2022/4/25,17,True,2022,5.0,2.0
31,DLN5,C02911226,灌腸管,1.0,2022/5/6,18,True,2022,5.0,2.0
32,DLN5,C02911226,灌腸管,1.0,2022/5/15,19,False,2022,5.0,2.0
33,DLN5,C02911226,灌腸管,1.0,2022/5/16,20,True,2022,5.0,2.0
34,DLN5,C02911226,灌腸管,1.0,2022/7/12,28,True,2022,5.0,2.0
35,DLN5,C02911226,灌腸管,1.0,2022/7/19,29,True,2022,5.0,2.0
36,DLN5,C02911226,灌腸管,1.0,2022/7/20,29,True,2022,5.0,2.0
37,DLN5,C02911226,灌腸管,2.0,2022/8/6,31,False,2022,5.0,2.0
38,DLN5,C02911226,灌腸管,1.0,2022/8/12,32,True,2022,5.0,2.0
39,DLN5,C02911226,灌腸管,1.0,2022/11/4,44,True,2022,5.0,2.0
40,DLN5,C02911226,灌腸管,1.0,2022/11/8,45,True,2022,5.0,2.0
