,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,DLN5,F41200000,痰液收集器,1.0,2019-02-06,6,False,2019,0.0,7.0
1,DLN5,F41200000,痰液收集器,1.0,2019-03-26,13,True,2019,5.0,2.0
2,DLN5,F41200000,痰液收集器,1.0,2019-04-04,14,True,2019,3.0,4.0
3,DLN5,F41200000,痰液收集器,1.0,2019-04-04,14,True,2019,3.0,4.0
4,DLN5,F41200000,痰液收集器,1.0,2019-04-06,14,False,2019,3.0,4.0
5,DLN5,F41200000,痰液收集器,3.0,2019-04-09,15,True,2019,5.0,2.0
6,DLN5,F41200000,痰液收集器,1.0,2019-04-10,15,True,2019,5.0,2.0
7,DLN5,F41200000,痰液收集器,1.0,2019-09-10,37,True,2019,4.0,3.0
8,DLN5,F41200000,痰液收集器,1.0,2019-12-08,49,False,2019,5.0,2.0
9,DLN5,F41200000,痰液收集器,1.0,2019-12-19,51,True,2019,5.0,2.0
10,DLN5,F41200000,痰液收集器,1.0,2020-01-15,3,True,2020,5.0,2.0
11,DLN5,F41200000,痰液收集器,1.0,2020-03-23,13,True,2020,5.0,2.0
12,DLN5,F41200000,痰液收集器,1.0,2020-03-28,13,False,2020,5.0,2.0
13,DLN5,F41200000,痰液收集器,1.0,2020-03-29,13,False,2020,5.0,2.0
14,DLN5,F41200000,痰液收集器,1.0,2020-05-13,20,True,2020,5.0,2.0
15,DLN5,F41200000,痰液收集器,1.0,2020-06-04,23,True,2020,5.0,2.0
16,DLN5,F41200000,痰液收集器,1.0,2020-06-09,24,True,2020,5.0,2.0
17,DLN5,F41200000,痰液收集器,1.0,2020-09-01,36,True,2020,4.0,3.0
18,DLN5,F41200000,痰液收集器,1.0,2020-09-11,37,True,2020,5.0,2.0
19,DLN5,F41200000,痰液收集器,1.0,2020-09-25,39,True,2020,5.0,2.0
20,DLN5,F41200000,痰液收集器,1.0,2020-10-12,42,True,2020,5.0,2.0
21,DLN5,F41200000,痰液收集器,1.0,2020-10-14,42,True,2020,5.0,2.0
22,DLN5,F41200000,痰液收集器,1.0,2020-10-15,42,True,2020,5.0,2.0
23,DLN5,F41200000,痰液收集器,1.0,2020-11-01,44,False,2020,5.0,2.0
24,DLN5,F41200000,痰液收集器,1.0,2020-11-29,48,False,2020,5.0,2.0
25,DLN5,F41200000,痰液收集器,1.0,2020-11-30,49,True,2020,5.0,2.0
26,DLN5,F41200000,痰液收集器,1.0,2021-01-14,2,True,2021,5.0,2.0
27,DLN5,F41200000,痰液收集器,1.0,2021-01-24,3,False,2021,5.0,2.0
28,DLN5,F41200000,痰液收集器,1.0,2021-02-26,8,True,2021,5.0,2.0
29,DLN5,F41200000,痰液收集器,1.0,2021-03-31,13,True,2021,4.0,3.0
30,DLN5,F41200000,痰液收集器,1.0,2021-04-04,13,False,2021,4.0,3.0
31,DLN5,F41200000,痰液收集器,1.0,2021-04-12,15,True,2021,5.0,2.0
32,DLN5,F41200000,痰液收集器,1.0,2021-05-16,19,False,2021,5.0,2.0
33,DLN5,F41200000,痰液收集器,3.0,2021-05-22,20,False,2021,5.0,2.0
