,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,DLN5,I20100104,心電圖電極貼片,9.0,2019-01-04,1,True,2019,3.0,3.0
1,DLN5,I20100104,心電圖電極貼片,3.0,2019-01-10,2,True,2019,5.0,2.0
2,DLN5,I20100104,心電圖電極貼片,3.0,2019-01-11,2,True,2019,5.0,2.0
3,DLN5,I20100104,心電圖電極貼片,3.0,2019-01-25,4,True,2019,5.0,2.0
4,DLN5,I20100104,心電圖電極貼片,3.0,2019-01-28,5,True,2019,5.0,2.0
5,DLN5,I20100104,心電圖電極貼片,3.0,2019-02-01,5,True,2019,5.0,2.0
6,DLN5,I20100104,心電圖電極貼片,3.0,2019-02-05,6,False,2019,0.0,7.0
7,DLN5,I20100104,心電圖電極貼片,3.0,2019-02-05,6,False,2019,0.0,7.0
8,DLN5,I20100104,心電圖電極貼片,3.0,2019-02-16,7,False,2019,5.0,2.0
9,DLN5,I20100104,心電圖電極貼片,3.0,2019-02-27,9,True,2019,3.0,4.0
10,DLN5,I20100104,心電圖電極貼片,3.0,2019-03-07,10,True,2019,5.0,2.0
11,DLN5,I20100104,心電圖電極貼片,3.0,2019-04-08,15,True,2019,5.0,2.0
12,DLN5,I20100104,心電圖電極貼片,3.0,2019-04-08,15,True,2019,5.0,2.0
13,DLN5,I20100104,心電圖電極貼片,6.0,2019-04-14,15,False,2019,5.0,2.0
14,DLN5,I20100104,心電圖電極貼片,3.0,2019-04-15,16,True,2019,5.0,2.0
15,DLN5,I20100104,心電圖電極貼片,3.0,2019-04-28,17,True,2019,5.0,2.0
16,DLN5,I20100104,心電圖電極貼片,6.0,2019-05-05,18,True,2019,4.0,3.0
17,DLN5,I20100104,心電圖電極貼片,3.0,2019-05-10,19,True,2019,5.0,2.0
18,DLN5,I20100104,心電圖電極貼片,6.0,2019-06-02,22,False,2019,5.0,2.0
19,DLN5,I20100104,心電圖電極貼片,6.0,2019-06-09,23,False,2019,4.0,3.0
20,DLN5,I20100104,心電圖電極貼片,0.0,2019-06-12,24,True,2019,5.0,2.0
21,DLN5,I20100104,心電圖電極貼片,18.0,2019-06-13,24,True,2019,5.0,2.0
22,DLN5,I20100104,心電圖電極貼片,3.0,2019-06-15,24,False,2019,5.0,2.0
23,DLN5,I20100104,心電圖電極貼片,3.0,2019-08-28,35,True,2019,5.0,2.0
24,DLN5,I20100104,心電圖電極貼片,5.0,2019-09-02,36,True,2019,4.0,3.0
25,DLN5,I20100104,心電圖電極貼片,3.0,2019-09-25,39,True,2019,5.0,2.0
26,DLN5,I20100104,心電圖電極貼片,6.0,2019-09-29,39,True,2019,5.0,2.0
27,DLN5,I20100104,心電圖電極貼片,3.0,2019-11-12,46,True,2019,5.0,2.0
28,DLN5,I20100104,心電圖電極貼片,3.0,2019-12-18,51,True,2019,5.0,2.0
