,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,DLN5,T01101016,氧氣口罩成人含接管,1.0,2019-01-04,1,True,2019,3.0,3.0
1,DLN5,T01101016,氧氣口罩成人含接管,1.0,2019-01-09,2,True,2019,5.0,2.0
2,DLN5,T01101016,氧氣口罩成人含接管,1.0,2019-01-30,5,True,2019,5.0,2.0
3,DLN5,T01101016,氧氣口罩成人含接管,1.0,2019-03-21,12,True,2019,5.0,2.0
4,DLN5,T01101016,氧氣口罩成人含接管,1.0,2019-06-20,25,True,2019,5.0,2.0
5,DLN5,T01101016,氧氣口罩成人含接管,1.0,2019-11-02,44,False,2019,5.0,2.0
6,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-02-09,6,False,2020,5.0,2.0
7,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-02-12,7,True,2020,5.0,2.0
8,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-02-23,8,False,2020,5.0,2.0
9,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-03-10,11,True,2020,5.0,2.0
10,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-03-21,12,False,2020,5.0,2.0
11,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-03-23,13,True,2020,5.0,2.0
12,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-03-27,13,True,2020,5.0,2.0
13,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-04-07,15,True,2020,5.0,2.0
14,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-04-09,15,True,2020,5.0,2.0
15,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-04-16,16,True,2020,5.0,2.0
16,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-05-25,22,True,2020,5.0,2.0
17,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-07-01,27,True,2020,5.0,2.0
18,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-07-03,27,True,2020,5.0,2.0
19,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-08-28,35,True,2020,5.0,2.0
20,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-09-11,37,True,2020,5.0,2.0
21,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-11-20,47,True,2020,5.0,2.0
22,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-11-25,48,True,2020,5.0,2.0
23,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-11-28,48,False,2020,5.0,2.0
24,DLN5,T01101016,氧氣口罩成人含接管,1.0,2020-12-24,52,True,2020,5.0,2.0
25,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-01-28,4,True,2021,5.0,2.0
26,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-03-01,9,True,2021,4.0,3.0
27,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-03-03,9,True,2021,4.0,3.0
28,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-03-03,9,True,2021,4.0,3.0
29,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-03-17,11,True,2021,5.0,2.0
30,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-04-02,13,True,2021,4.0,3.0
31,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-04-19,16,True,2021,5.0,2.0
32,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-04-22,16,True,2021,5.0,2.0
33,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-05-29,21,False,2021,5.0,2.0
34,DLN5,T01101016,氧氣口罩成人含接管,1.0,2021-05-29,21,False,2021,5.0,2.0
