,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,DLN5,U91700000,丟棄式導尿包,1.0,2019-01-02,1,True,2019,3.0,3.0
1,DLN5,U91700000,丟棄式導尿包,1.0,2019-01-03,1,True,2019,3.0,3.0
2,DLN5,U91700000,丟棄式導尿包,1.0,2019-12-30,1,True,2019,3.0,3.0
3,DLN5,U91700000,丟棄式導尿包,1.0,2019-12-30,1,True,2019,3.0,3.0
4,DLN5,U91700000,丟棄式導尿包,2.0,2019-01-07,2,True,2019,5.0,2.0
5,DLN5,U91700000,丟棄式導尿包,1.0,2019-01-07,2,True,2019,5.0,2.0
6,DLN5,U91700000,丟棄式導尿包,1.0,2019-01-09,2,True,2019,5.0,2.0
7,DLN5,U91700000,丟棄式導尿包,1.0,2019-01-10,2,True,2019,5.0,2.0
8,DLN5,U91700000,丟棄式導尿包,1.0,2019-01-11,2,True,2019,5.0,2.0
9,DLN5,U91700000,丟棄式導尿包,1.0,2019-01-14,3,True,2019,5.0,2.0
10,DLN5,U91700000,丟棄式導尿包,1.0,2019-01-17,3,True,2019,5.0,2.0
11,DLN5,U91700000,丟棄式導尿包,2.0,2019-01-20,3,False,2019,5.0,2.0
12,DLN5,U91700000,丟棄式導尿包,1.0,2019-01-26,4,False,2019,5.0,2.0
13,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-01,5,True,2019,5.0,2.0
14,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-03,5,True,2019,5.0,2.0
15,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-03,5,True,2019,5.0,2.0
16,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-05,6,False,2019,0.0,7.0
17,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-08,6,False,2019,0.0,7.0
18,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-12,7,True,2019,5.0,2.0
19,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-13,7,True,2019,5.0,2.0
20,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-15,7,True,2019,5.0,2.0
21,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-17,7,False,2019,5.0,2.0
22,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-18,8,True,2019,5.0,2.0
23,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-19,8,True,2019,5.0,2.0
24,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-20,8,True,2019,5.0,2.0
25,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-20,8,True,2019,5.0,2.0
26,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-21,8,True,2019,5.0,2.0
27,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-24,8,False,2019,5.0,2.0
28,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-24,8,False,2019,5.0,2.0
29,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-24,8,False,2019,5.0,2.0
30,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-26,9,True,2019,3.0,4.0
31,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-26,9,True,2019,3.0,4.0
32,DLN5,U91700000,丟棄式導尿包,1.0,2019-02-27,9,True,2019,3.0,4.0
33,DLN5,U91700000,丟棄式導尿包,1.0,2019-03-02,9,False,2019,3.0,4.0
34,DLN5,U91700000,丟棄式導尿包,1.0,2019-03-04,10,True,2019,5.0,2.0
35,DLN5,U91700000,丟棄式導尿包,1.0,2019-03-05,10,True,2019,5.0,2.0
36,DLN5,U91700000,丟棄式導尿包,1.0,2019-03-09,10,False,2019,5.0,2.0
37,DLN5,U91700000,丟棄式導尿包,1.0,2019-03-15,11,True,2019,5.0,2.0
38,DLN5,U91700000,丟棄式導尿包,1.0,2019-03-17,11,False,2019,5.0,2.0
39,DLN5,U91700000,丟棄式導尿包,1.0,2019-03-18,12,True,2019,5.0,2.0
40,DLN5,U91700000,丟棄式導尿包,1.0,2019-03-24,12,False,2019,5.0,2.0
41,DLN5,U91700000,丟棄式導尿包,1.0,2019-03-26,13,True,2019,5.0,2.0
42,DLN5,U91700000,丟棄式導尿包,2.0,2019-03-27,13,True,2019,5.0,2.0
43,DLN5,U91700000,丟棄式導尿包,1.0,2019-03-29,13,True,2019,5.0,2.0
44,DLN5,U91700000,丟棄式導尿包,2.0,2019-03-29,13,True,2019,5.0,2.0
45,DLN5,U91700000,丟棄式導尿包,2.0,2019-04-02,14,True,2019,3.0,4.0
46,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-03,14,True,2019,3.0,4.0
47,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-04,14,True,2019,3.0,4.0
48,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-04,14,True,2019,3.0,4.0
49,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-09,15,True,2019,5.0,2.0
50,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-11,15,True,2019,5.0,2.0
51,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-15,16,True,2019,5.0,2.0
52,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-18,16,True,2019,5.0,2.0
53,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-19,16,True,2019,5.0,2.0
54,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-20,16,False,2019,5.0,2.0
55,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-21,16,False,2019,5.0,2.0
56,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-24,17,True,2019,5.0,2.0
57,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-24,17,True,2019,5.0,2.0
58,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-26,17,True,2019,5.0,2.0
59,DLN5,U91700000,丟棄式導尿包,1.0,2019-04-27,17,False,2019,5.0,2.0
60,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-02,18,False,2019,4.0,3.0
61,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-06,19,True,2019,5.0,2.0
62,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-07,19,True,2019,5.0,2.0
63,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-09,19,True,2019,5.0,2.0
64,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-13,20,True,2019,5.0,2.0
65,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-14,20,True,2019,5.0,2.0
66,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-14,20,True,2019,5.0,2.0
67,DLN5,U91700000,丟棄式導尿包,2.0,2019-05-15,20,True,2019,5.0,2.0
68,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-17,20,True,2019,5.0,2.0
69,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-17,20,True,2019,5.0,2.0
70,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-19,20,False,2019,5.0,2.0
71,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-21,21,True,2019,5.0,2.0
72,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-22,21,True,2019,5.0,2.0
73,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-30,22,True,2019,5.0,2.0
74,DLN5,U91700000,丟棄式導尿包,2.0,2019-05-30,22,True,2019,5.0,2.0
75,DLN5,U91700000,丟棄式導尿包,1.0,2019-05-30,22,True,2019,5.0,2.0
76,DLN5,U91700000,丟棄式導尿包,2.0,2019-06-01,22,False,2019,5.0,2.0
77,DLN5,U91700000,丟棄式導尿包,2.0,2019-06-09,23,False,2019,4.0,3.0
78,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-11,24,True,2019,5.0,2.0
79,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-12,24,True,2019,5.0,2.0
80,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-12,24,True,2019,5.0,2.0
81,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-12,24,True,2019,5.0,2.0
82,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-14,24,True,2019,5.0,2.0
83,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-15,24,False,2019,5.0,2.0
84,DLN5,U91700000,丟棄式導尿包,2.0,2019-06-16,24,False,2019,5.0,2.0
85,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-18,25,True,2019,5.0,2.0
86,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-18,25,True,2019,5.0,2.0
87,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-19,25,True,2019,5.0,2.0
88,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-19,25,True,2019,5.0,2.0
89,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-20,25,True,2019,5.0,2.0
90,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-21,25,True,2019,5.0,2.0
91,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-23,25,False,2019,5.0,2.0
92,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-25,26,True,2019,5.0,2.0
93,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-26,26,True,2019,5.0,2.0
94,DLN5,U91700000,丟棄式導尿包,1.0,2019-06-26,26,True,2019,5.0,2.0
95,DLN5,U91700000,丟棄式導尿包,2.0,2019-07-01,27,True,2019,5.0,2.0
96,DLN5,U91700000,丟棄式導尿包,1.0,2019-07-01,27,True,2019,5.0,2.0
97,DLN5,U91700000,丟棄式導尿包,1.0,2019-07-05,27,True,2019,5.0,2.0
98,DLN5,U91700000,丟棄式導尿包,1.0,2019-07-05,27,True,2019,5.0,2.0
99,DLN5,U91700000,丟棄式導尿包,1.0,2019-07-05,27,True,2019,5.0,2.0
100,DLN5,U91700000,丟棄式導尿包,1.0,2019-07-07,27,False,2019,5.0,2.0
101,DLN5,U91700000,丟棄式導尿包,2.0,2019-07-08,28,True,2019,5.0,2.0
102,DLN5,U91700000,丟棄式導尿包,2.0,2019-07-09,28,True,2019,5.0,2.0
103,DLN5,U91700000,丟棄式導尿包,1.0,2019-07-16,29,True,2019,5.0,2.0
104,DLN5,U91700000,丟棄式導尿包,1.0,2019-07-24,30,True,2019,5.0,2.0
105,DLN5,U91700000,丟棄式導尿包,1.0,2019-07-26,30,True,2019,5.0,2.0
106,DLN5,U91700000,丟棄式導尿包,1.0,2019-07-30,31,True,2019,5.0,2.0
107,DLN5,U91700000,丟棄式導尿包,1.0,2019-07-30,31,True,2019,5.0,2.0
108,DLN5,U91700000,丟棄式導尿包,1.0,2019-08-01,31,True,2019,5.0,2.0
109,DLN5,U91700000,丟棄式導尿包,1.0,2019-08-01,31,True,2019,5.0,2.0
110,DLN5,U91700000,丟棄式導尿包,1.0,2019-08-07,32,True,2019,5.0,2.0
111,DLN5,U91700000,丟棄式導尿包,1.0,2019-08-09,32,True,2019,5.0,2.0
112,DLN5,U91700000,丟棄式導尿包,1.0,2019-08-14,33,True,2019,5.0,2.0
113,DLN5,U91700000,丟棄式導尿包,1.0,2019-08-14,33,True,2019,5.0,2.0
114,DLN5,U91700000,丟棄式導尿包,1.0,2019-08-15,33,True,2019,5.0,2.0
115,DLN5,U91700000,丟棄式導尿包,1.0,2019-08-19,34,True,2019,5.0,2.0
116,DLN5,U91700000,丟棄式導尿包,1.0,2019-08-20,34,True,2019,5.0,2.0
117,DLN5,U91700000,丟棄式導尿包,1.0,2019-08-20,34,True,2019,5.0,2.0
118,DLN5,U91700000,丟棄式導尿包,1.0,2019-08-23,34,True,2019,5.0,2.0
