,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數
0,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-01-01,1,False,2019,3.0,3.0
1,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-01-04,1,True,2019,3.0,3.0
2,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-12-30,1,True,2019,3.0,3.0
3,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-01-10,2,True,2019,5.0,2.0
4,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-01-12,2,False,2019,5.0,2.0
5,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-01-14,3,True,2019,5.0,2.0
6,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-01-14,3,True,2019,5.0,2.0
7,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-01-15,3,True,2019,5.0,2.0
8,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-01-22,4,True,2019,5.0,2.0
9,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-01-24,4,True,2019,5.0,2.0
10,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-01-28,5,True,2019,5.0,2.0
11,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-01-29,5,True,2019,5.0,2.0
12,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-01-30,5,True,2019,5.0,2.0
13,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2019-02-02,5,True,2019,5.0,2.0
14,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-02-04,6,False,2019,0.0,7.0
15,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-02-05,6,False,2019,0.0,7.0
16,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-02-13,7,True,2019,5.0,2.0
17,DLN5,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-02-15,7,True,2019,5.0,2.0
