,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN8,A00120067,5cc 塑膠注射空針,3.0,2019-01-01,1,False,2019,3.0,3.0,,
1,DLN8,A00120067,5cc 塑膠注射空針,3.0,2019-01-01,1,False,2019,3.0,3.0,,
2,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-01,1,False,2019,3.0,3.0,,
3,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-01,1,False,2019,3.0,3.0,,
4,DLN8,A00120067,5cc 塑膠注射空針,2.0,2019-01-01,1,False,2019,3.0,3.0,,
5,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-02,1,True,2019,3.0,3.0,,
6,DLN8,A00120067,5cc 塑膠注射空針,2.0,2019-01-02,1,True,2019,3.0,3.0,,
7,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-02,1,True,2019,3.0,3.0,,
8,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-02,1,True,2019,3.0,3.0,,
9,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-02,1,True,2019,3.0,3.0,,
10,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-02,1,True,2019,3.0,3.0,,
11,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-02,1,True,2019,3.0,3.0,,
12,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-02,1,True,2019,3.0,3.0,,
13,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-02,1,True,2019,3.0,3.0,,
14,DLN8,A00120067,5cc 塑膠注射空針,3.0,2019-01-03,1,True,2019,3.0,3.0,,
15,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-03,1,True,2019,3.0,3.0,,
16,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-03,1,True,2019,3.0,3.0,,
17,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-04,1,True,2019,3.0,3.0,,
18,DLN8,A00120067,5cc 塑膠注射空針,2.0,2019-01-04,1,True,2019,3.0,3.0,,
19,DLN8,A00120067,5cc 塑膠注射空針,2.0,2019-01-04,1,True,2019,3.0,3.0,,
20,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-04,1,True,2019,3.0,3.0,,
21,DLN8,A00120067,5cc 塑膠注射空針,5.0,2019-01-04,1,True,2019,3.0,3.0,,
22,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-04,1,True,2019,3.0,3.0,,
23,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-04,1,True,2019,3.0,3.0,,
24,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-04,1,True,2019,3.0,3.0,,
25,DLN8,A00120067,5cc 塑膠注射空針,2.0,2019-01-04,1,True,2019,3.0,3.0,,
26,DLN8,A00120067,5cc 塑膠注射空針,2.0,2019-01-05,1,False,2019,3.0,3.0,,
27,DLN8,A00120067,5cc 塑膠注射空針,3.0,2019-01-05,1,False,2019,3.0,3.0,,
28,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-05,1,False,2019,3.0,3.0,,
29,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-05,1,False,2019,3.0,3.0,,
30,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-01-06,1,False,2019,3.0,3.0,,
31,DLN8,A00120067,5cc 塑膠注射空針,2.0,2019-01-06,1,False,2019,3.0,3.0,,
32,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-12-30,1,True,2019,3.0,3.0,,
33,DLN8,A00120067,5cc 塑膠注射空針,2.0,2019-12-30,1,True,2019,3.0,3.0,,
34,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-12-30,1,True,2019,3.0,3.0,,
35,DLN8,A00120067,5cc 塑膠注射空針,1.0,2019-12-30,1,True,2019,3.0,3.0,,
