,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLN8,A46441986,幫浦輸液套(一般型),1.0,2020-12-23,True,52,2020,5.0,2.0,,
1,DLN8,A46441986,幫浦輸液套(一般型),1.0,2020-12-25,True,52,2020,5.0,2.0,,
2,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-04,True,1,2021,5.0,2.0,,
3,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-04,True,1,2021,5.0,2.0,,
4,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-04,True,1,2021,5.0,2.0,,
5,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-06,True,1,2021,5.0,2.0,,
6,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-08,True,1,2021,5.0,2.0,,
7,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-12,True,2,2021,5.0,2.0,,
8,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-12,True,2,2021,5.0,2.0,,
9,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-13,True,2,2021,5.0,2.0,,
10,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-13,True,2,2021,5.0,2.0,,
11,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-14,True,2,2021,5.0,2.0,,
12,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-17,False,2,2021,5.0,2.0,,
13,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-18,True,3,2021,5.0,2.0,,
14,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-18,True,3,2021,5.0,2.0,,
15,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-23,False,3,2021,5.0,2.0,,
16,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-23,False,3,2021,5.0,2.0,,
17,DLN8,A46441986,幫浦輸液套(一般型),1.0,2021-01-25,True,4,2021,5.0,2.0,,
