,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-01-16,3,True,2019,5.0,2.0,,
1,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-02-18,8,True,2019,5.0,2.0,,
2,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,3.0,2019-02-22,8,True,2019,5.0,2.0,,
3,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-03-08,10,True,2019,5.0,2.0,,
4,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-03-11,11,True,2019,5.0,2.0,,
5,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-03-13,11,True,2019,5.0,2.0,,
6,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-03-24,12,False,2019,5.0,2.0,,
7,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-03-24,12,False,2019,5.0,2.0,,
8,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-03-30,13,False,2019,5.0,2.0,,
9,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,2.0,2019-04-08,15,True,2019,5.0,2.0,,
10,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-04-24,17,True,2019,5.0,2.0,,
11,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-05-14,20,True,2019,5.0,2.0,,
12,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-06-11,24,True,2019,5.0,2.0,,
13,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-06-17,25,True,2019,5.0,2.0,,
14,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-06-20,25,True,2019,5.0,2.0,,
15,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-06-24,26,True,2019,5.0,2.0,,
16,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-07-04,27,True,2019,5.0,2.0,,
17,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-07-09,28,True,2019,5.0,2.0,,
18,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-07-11,28,True,2019,5.0,2.0,,
19,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,4.0,2019-07-15,29,True,2019,5.0,2.0,,
20,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,6.0,2019-07-16,29,True,2019,5.0,2.0,,
21,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-07-26,30,True,2019,5.0,2.0,,
22,DLN8,B05569084,沖洗棉棒 棉頭3.8cm直徑2.4cm,1.0,2019-08-06,32,True,2019,5.0,2.0,,
