,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-01-12,2,False,2019,5.0,2.0,,
1,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-01-20,3,False,2019,5.0,2.0,,
2,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-01-29,5,True,2019,5.0,2.0,,
3,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-02-12,7,True,2019,5.0,2.0,,
4,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-02-13,7,True,2019,5.0,2.0,,
5,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-02-18,8,True,2019,5.0,2.0,,
6,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-02-23,8,False,2019,5.0,2.0,,
7,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-03-02,9,False,2019,3.0,4.0,,
8,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-03-14,11,True,2019,5.0,2.0,,
9,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-03-22,12,True,2019,5.0,2.0,,
10,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-03-27,13,True,2019,5.0,2.0,,
11,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-04-03,14,True,2019,3.0,4.0,,
12,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-04-17,16,True,2019,5.0,2.0,,
13,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-04-22,17,True,2019,5.0,2.0,,
14,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-04-30,18,True,2019,4.0,3.0,,
15,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-04-30,18,True,2019,4.0,3.0,,
16,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-05-06,19,True,2019,5.0,2.0,,
17,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-06-05,23,True,2019,4.0,3.0,,
18,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-06-08,23,False,2019,4.0,3.0,,
19,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-06-10,24,True,2019,5.0,2.0,,
20,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-06-10,24,True,2019,5.0,2.0,,
21,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-06-27,26,True,2019,5.0,2.0,,
22,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-07-17,29,True,2019,5.0,2.0,,
23,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-07-30,31,True,2019,5.0,2.0,,
24,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-07-31,31,True,2019,5.0,2.0,,
25,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-08-01,31,True,2019,5.0,2.0,,
26,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-08-06,32,True,2019,5.0,2.0,,
27,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-08-06,32,True,2019,5.0,2.0,,
28,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-08-28,35,True,2019,5.0,2.0,,
29,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-08-29,35,True,2019,5.0,2.0,,
30,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-08-30,35,True,2019,5.0,2.0,,
31,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-09-12,37,True,2019,4.0,3.0,,
32,DLN8,C02513167,鼻胃管16Fr  可顯影125cm,1.0,2019-09-21,38,False,2019,5.0,2.0,,
