,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-01-01,1,False,2019,3.0,3.0,,
1,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-01-03,1,True,2019,3.0,3.0,,
2,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-01-03,1,True,2019,3.0,3.0,,
3,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-01-06,1,False,2019,3.0,3.0,,
4,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-12-30,1,True,2019,3.0,3.0,,
5,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-12-30,1,True,2019,3.0,3.0,,
6,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-01-13,2,False,2019,5.0,2.0,,
7,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-01-22,4,True,2019,5.0,2.0,,
8,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-01-22,4,True,2019,5.0,2.0,,
9,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-01-23,4,True,2019,5.0,2.0,,
10,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-01-27,4,False,2019,5.0,2.0,,
11,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-01-27,4,False,2019,5.0,2.0,,
12,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-01-29,5,True,2019,5.0,2.0,,
13,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-01-29,5,True,2019,5.0,2.0,,
14,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-02-11,7,True,2019,5.0,2.0,,
15,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-02-12,7,True,2019,5.0,2.0,,
16,DLN8,T01101024,噴霧氧氣口罩，Aerosol Mask,1.0,2019-02-14,7,True,2019,5.0,2.0,,
