,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-01-02,1,True,2019,3.0,3.0,,
1,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-02-08,6,False,2019,0.0,7.0,,
2,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-03-21,12,True,2019,5.0,2.0,,
3,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-03-21,12,True,2019,5.0,2.0,,
4,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-03-25,13,True,2019,5.0,2.0,,
5,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-05-09,19,True,2019,5.0,2.0,,
6,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2019-05-12,19,False,2019,5.0,2.0,,
7,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-05-13,20,True,2019,5.0,2.0,,
8,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2019-05-22,21,True,2019,5.0,2.0,,
9,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-06-03,23,True,2019,4.0,3.0,,
10,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-06-05,23,True,2019,4.0,3.0,,
11,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-06-06,23,True,2019,4.0,3.0,,
12,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,0.0,2019-06-12,24,True,2019,5.0,2.0,,
13,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-06-23,25,False,2019,5.0,2.0,,
14,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-06-27,26,True,2019,5.0,2.0,,
15,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2019-07-09,28,True,2019,5.0,2.0,,
16,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-08-13,33,True,2019,5.0,2.0,,
17,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-08-14,33,True,2019,5.0,2.0,,
18,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-08-14,33,True,2019,5.0,2.0,,
19,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2019-08-29,35,True,2019,5.0,2.0,,
20,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-09-10,37,True,2019,4.0,3.0,,
21,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-09-16,38,True,2019,5.0,2.0,,
22,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-09-30,40,True,2019,5.0,2.0,,
23,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-10-21,43,True,2019,5.0,2.0,,
24,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-10-22,43,True,2019,5.0,2.0,,
25,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2019-11-11,46,True,2019,5.0,2.0,,
26,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2019-11-21,47,True,2019,5.0,2.0,,
27,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-01-21,4,True,2020,3.0,4.0,,
28,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2020-01-28,5,False,2020,2.0,5.0,,
29,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-02-07,6,True,2020,5.0,2.0,,
30,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2020-02-10,7,True,2020,5.0,2.0,,
31,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-02-14,7,True,2020,5.0,2.0,,
32,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2020-02-15,7,False,2020,5.0,2.0,,
33,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-02-17,8,True,2020,5.0,2.0,,
34,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-02-17,8,True,2020,5.0,2.0,,
35,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-03-01,9,False,2020,4.0,3.0,,
36,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-03-03,10,True,2020,5.0,2.0,,
37,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-03-12,11,True,2020,5.0,2.0,,
38,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2020-03-12,11,True,2020,5.0,2.0,,
39,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2020-03-24,13,True,2020,5.0,2.0,,
40,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-03-24,13,True,2020,5.0,2.0,,
41,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2020-03-27,13,True,2020,5.0,2.0,,
42,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-03-28,13,False,2020,5.0,2.0,,
43,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-03-28,13,False,2020,5.0,2.0,,
44,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-03-29,13,False,2020,5.0,2.0,,
45,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-03-29,13,False,2020,5.0,2.0,,
46,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2020-03-29,13,False,2020,5.0,2.0,,
47,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-04-01,14,True,2020,3.0,4.0,,
48,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-04-08,15,True,2020,5.0,2.0,,
49,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-04-13,16,True,2020,5.0,2.0,,
50,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-05-03,18,False,2020,4.0,3.0,,
51,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-05-04,19,False,2020,5.0,2.0,,
52,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-05-05,19,False,2020,5.0,2.0,,
53,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-05-25,22,True,2020,5.0,2.0,,
54,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-05-25,22,True,2020,5.0,2.0,,
55,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-06-08,24,True,2020,5.0,2.0,,
56,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-06-12,24,True,2020,5.0,2.0,,
57,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-06-24,26,True,2020,3.0,4.0,,
58,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-06-25,26,False,2020,3.0,4.0,,
59,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2020-06-28,26,True,2020,3.0,4.0,,
60,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-07-15,29,True,2020,5.0,2.0,,
61,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-07-17,29,True,2020,5.0,2.0,,
62,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2020-08-03,32,True,2020,5.0,2.0,,
63,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2020-08-03,32,True,2020,5.0,2.0,,
64,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2020-08-04,32,True,2020,5.0,2.0,,
65,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-09-05,36,False,2020,4.0,3.0,,
66,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-09-06,36,False,2020,4.0,3.0,,
67,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-09-08,37,True,2020,5.0,2.0,,
68,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-09-19,38,False,2020,5.0,2.0,,
69,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-09-25,39,True,2020,5.0,2.0,,
70,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-10-05,41,False,2020,4.0,3.0,,
71,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-10-14,42,True,2020,5.0,2.0,,
72,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-10-21,43,True,2020,5.0,2.0,,
73,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-11-25,48,True,2020,5.0,2.0,,
74,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-12-03,49,True,2020,5.0,2.0,,
75,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2020-12-08,50,True,2020,5.0,2.0,,
76,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-12-17,51,True,2020,5.0,2.0,,
77,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-12-25,52,True,2020,5.0,2.0,,
78,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2020-12-27,52,False,2020,5.0,2.0,,
79,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/1/25,4,True,2021,5.0,2.0,,
80,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/1/25,4,True,2021,5.0,2.0,,
81,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/1/25,4,True,2021,5.0,2.0,,
82,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/1/28,4,True,2021,5.0,2.0,,
83,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/2/3,5,True,2021,5.0,2.0,,
84,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/2/3,5,True,2021,5.0,2.0,,
85,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/2/10,6,True,2021,2.0,5.0,,
86,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/2/13,6,False,2021,2.0,5.0,,
87,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2021/2/25,8,True,2021,5.0,2.0,,
88,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,3.0,2021/3/7,9,False,2021,4.0,3.0,,
89,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/3/12,10,True,2021,5.0,2.0,,
90,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/3/9,10,True,2021,5.0,2.0,,
91,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/3/22,12,True,2021,5.0,2.0,,
92,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/3/22,12,True,2021,5.0,2.0,,
93,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/3/24,12,True,2021,5.0,2.0,,
94,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/3/26,12,True,2021,5.0,2.0,,
95,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/4/1,13,True,2021,4.0,3.0,,
96,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/4/7,14,True,2021,4.0,3.0,,
97,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/4/15,15,True,2021,5.0,2.0,,
98,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/4/20,16,True,2021,5.0,2.0,,
99,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/4/20,16,True,2021,5.0,2.0,,
100,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/4/27,17,True,2021,5.0,2.0,,
101,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/5/13,19,True,2021,5.0,2.0,,
102,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/6/7,23,True,2021,5.0,2.0,,
103,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2021/7/3,26,False,2021,5.0,2.0,,
104,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/7/9,27,True,2021,5.0,2.0,,
105,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/8/8,31,False,2021,5.0,2.0,,
106,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/8/10,32,True,2021,5.0,2.0,,
107,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/8/15,32,False,2021,5.0,2.0,,
108,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/8/24,34,True,2021,5.0,2.0,,
109,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/9/2,35,True,2021,4.0,3.0,,
110,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/9/6,36,True,2021,5.0,2.0,,
111,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2021/9/20,38,False,2021,3.0,4.0,,
112,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/10/12,41,True,2021,4.0,3.0,,
113,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/10/14,41,True,2021,4.0,3.0,,
114,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/10/25,43,True,2021,5.0,2.0,,
115,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/10/25,43,True,2021,5.0,2.0,,
116,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/11/3,44,True,2021,5.0,2.0,,
117,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2021/11/4,44,True,2021,5.0,2.0,,
118,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/11/5,44,True,2021,5.0,2.0,,
119,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,2.0,2021/11/18,46,True,2021,5.0,2.0,,
120,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2021/12/23,51,True,2021,5.0,2.0,,
121,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2022-01-13,2,True,2022,5.0,2.0,202201.0,T-不計價
122,DLN6,B13500704,無菌手套7.0Fr(無粉)-病房用,1.0,2022-01-18,3,True,2022,5.0,2.0,202201.0,T-不計價
