,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-12-30,1,True,2019,3.0,3.0,,
1,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-01-09,2,True,2019,5.0,2.0,,
2,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-01-09,2,True,2019,5.0,2.0,,
3,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-01-09,2,True,2019,5.0,2.0,,
4,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-01-24,4,True,2019,5.0,2.0,,
5,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-01-24,4,True,2019,5.0,2.0,,
6,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-01-25,4,True,2019,5.0,2.0,,
7,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-02-01,5,True,2019,5.0,2.0,,
8,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-02-11,7,True,2019,5.0,2.0,,
9,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-02-22,8,True,2019,5.0,2.0,,
10,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-02-22,8,True,2019,5.0,2.0,,
11,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-02-25,9,True,2019,3.0,4.0,,
12,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-02-27,9,True,2019,3.0,4.0,,
13,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-03-02,9,False,2019,3.0,4.0,,
14,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-03-06,10,True,2019,5.0,2.0,,
15,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-03-06,10,True,2019,5.0,2.0,,
16,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-03-06,10,True,2019,5.0,2.0,,
17,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-03-12,11,True,2019,5.0,2.0,,
18,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-03-22,12,True,2019,5.0,2.0,,
19,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-03-25,13,True,2019,5.0,2.0,,
20,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-03-29,13,True,2019,5.0,2.0,,
21,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-04-03,14,True,2019,3.0,4.0,,
22,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-04-03,14,True,2019,3.0,4.0,,
23,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-04-04,14,True,2019,3.0,4.0,,
24,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-04-10,15,True,2019,5.0,2.0,,
25,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-04-11,15,True,2019,5.0,2.0,,
26,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-04-11,15,True,2019,5.0,2.0,,
27,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-04-15,16,True,2019,5.0,2.0,,
28,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-05-14,20,True,2019,5.0,2.0,,
29,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-05-15,20,True,2019,5.0,2.0,,
30,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-05-16,20,True,2019,5.0,2.0,,
31,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-05-17,20,True,2019,5.0,2.0,,
32,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-06-11,24,True,2019,5.0,2.0,,
33,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-06-24,26,True,2019,5.0,2.0,,
34,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-07-01,27,True,2019,5.0,2.0,,
35,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-07-02,27,True,2019,5.0,2.0,,
36,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-07-04,27,True,2019,5.0,2.0,,
37,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-07-10,28,True,2019,5.0,2.0,,
38,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-07-19,29,True,2019,5.0,2.0,,
39,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-07-24,30,True,2019,5.0,2.0,,
40,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-08-02,31,True,2019,5.0,2.0,,
41,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-08-07,32,True,2019,5.0,2.0,,
42,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-08-08,32,True,2019,5.0,2.0,,
43,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-08-21,34,True,2019,5.0,2.0,,
44,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-08-29,35,True,2019,5.0,2.0,,
45,DLN6,C00123169,二叉矽質導尿管-16Fr,1.0,2019-09-04,36,True,2019,4.0,3.0,,
