,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN6,G81500272,血糖試紙,4.0,2019-01-01,1,False,2019,3.0,3.0,,
1,DLN6,G81500272,血糖試紙,2.0,2019-01-01,1,False,2019,3.0,3.0,,
2,DLN6,G81500272,血糖試紙,4.0,2019-01-01,1,False,2019,3.0,3.0,,
3,DLN6,G81500272,血糖試紙,4.0,2019-01-01,1,False,2019,3.0,3.0,,
4,DLN6,G81500272,血糖試紙,4.0,2019-01-01,1,False,2019,3.0,3.0,,
5,DLN6,G81500272,血糖試紙,1.0,2019-01-01,1,False,2019,3.0,3.0,,
6,DLN6,G81500272,血糖試紙,4.0,2019-01-01,1,False,2019,3.0,3.0,,
7,DLN6,G81500272,血糖試紙,4.0,2019-01-01,1,False,2019,3.0,3.0,,
8,DLN6,G81500272,血糖試紙,6.0,2019-01-01,1,False,2019,3.0,3.0,,
9,DLN6,G81500272,血糖試紙,4.0,2019-01-01,1,False,2019,3.0,3.0,,
10,DLN6,G81500272,血糖試紙,3.0,2019-01-01,1,False,2019,3.0,3.0,,
11,DLN6,G81500272,血糖試紙,5.0,2019-01-01,1,False,2019,3.0,3.0,,
12,DLN6,G81500272,血糖試紙,4.0,2019-01-01,1,False,2019,3.0,3.0,,
13,DLN6,G81500272,血糖試紙,4.0,2019-01-01,1,False,2019,3.0,3.0,,
14,DLN6,G81500272,血糖試紙,2.0,2019-01-01,1,False,2019,3.0,3.0,,
15,DLN6,G81500272,血糖試紙,1.0,2019-01-02,1,True,2019,3.0,3.0,,
16,DLN6,G81500272,血糖試紙,4.0,2019-01-02,1,True,2019,3.0,3.0,,
17,DLN6,G81500272,血糖試紙,2.0,2019-01-02,1,True,2019,3.0,3.0,,
18,DLN6,G81500272,血糖試紙,2.0,2019-01-02,1,True,2019,3.0,3.0,,
19,DLN6,G81500272,血糖試紙,3.0,2019-01-02,1,True,2019,3.0,3.0,,
20,DLN6,G81500272,血糖試紙,2.0,2019-01-02,1,True,2019,3.0,3.0,,
21,DLN6,G81500272,血糖試紙,2.0,2019-01-02,1,True,2019,3.0,3.0,,
22,DLN6,G81500272,血糖試紙,4.0,2019-01-02,1,True,2019,3.0,3.0,,
23,DLN6,G81500272,血糖試紙,2.0,2019-01-02,1,True,2019,3.0,3.0,,
24,DLN6,G81500272,血糖試紙,3.0,2019-01-02,1,True,2019,3.0,3.0,,
25,DLN6,G81500272,血糖試紙,6.0,2019-01-02,1,True,2019,3.0,3.0,,
26,DLN6,G81500272,血糖試紙,6.0,2019-01-02,1,True,2019,3.0,3.0,,
27,DLN6,G81500272,血糖試紙,5.0,2019-01-02,1,True,2019,3.0,3.0,,
28,DLN6,G81500272,血糖試紙,1.0,2019-01-02,1,True,2019,3.0,3.0,,
29,DLN6,G81500272,血糖試紙,1.0,2019-01-02,1,True,2019,3.0,3.0,,
30,DLN6,G81500272,血糖試紙,5.0,2019-01-02,1,True,2019,3.0,3.0,,
31,DLN6,G81500272,血糖試紙,5.0,2019-01-02,1,True,2019,3.0,3.0,,
32,DLN6,G81500272,血糖試紙,5.0,2019-01-02,1,True,2019,3.0,3.0,,
33,DLN6,G81500272,血糖試紙,5.0,2019-01-03,1,True,2019,3.0,3.0,,
34,DLN6,G81500272,血糖試紙,4.0,2019-01-03,1,True,2019,3.0,3.0,,
35,DLN6,G81500272,血糖試紙,1.0,2019-01-03,1,True,2019,3.0,3.0,,
36,DLN6,G81500272,血糖試紙,4.0,2019-01-03,1,True,2019,3.0,3.0,,
