,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-01-17,3,True,2019,5.0,2.0,,
1,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-01-17,3,True,2019,5.0,2.0,,
2,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-01-19,3,False,2019,5.0,2.0,,
3,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-01-22,4,True,2019,5.0,2.0,,
4,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-01-22,4,True,2019,5.0,2.0,,
5,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-01-29,5,True,2019,5.0,2.0,,
6,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-02-14,7,True,2019,5.0,2.0,,
7,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-02-15,7,True,2019,5.0,2.0,,
8,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-03-09,10,False,2019,5.0,2.0,,
9,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-03-25,13,True,2019,5.0,2.0,,
10,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-03-29,13,True,2019,5.0,2.0,,
11,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-04-10,15,True,2019,5.0,2.0,,
12,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-04-15,16,True,2019,5.0,2.0,,
13,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-04-20,16,False,2019,5.0,2.0,,
14,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-04-22,17,True,2019,5.0,2.0,,
15,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-04-22,17,True,2019,5.0,2.0,,
16,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-04-24,17,True,2019,5.0,2.0,,
17,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,2.0,2019-04-25,17,True,2019,5.0,2.0,,
18,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-05-22,21,True,2019,5.0,2.0,,
19,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-05-29,22,True,2019,5.0,2.0,,
20,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-05-29,22,True,2019,5.0,2.0,,
21,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-06-17,25,True,2019,5.0,2.0,,
22,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-06-25,26,True,2019,5.0,2.0,,
23,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-07-02,27,True,2019,5.0,2.0,,
24,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-07-09,28,True,2019,5.0,2.0,,
25,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-07-14,28,False,2019,5.0,2.0,,
26,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-07-16,29,True,2019,5.0,2.0,,
27,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-07-21,29,False,2019,5.0,2.0,,
28,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-08-22,34,True,2019,5.0,2.0,,
29,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-08-29,35,True,2019,5.0,2.0,,
30,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-10-23,43,True,2019,5.0,2.0,,
31,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2019-12-17,51,True,2019,5.0,2.0,,
32,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-02-10,7,True,2020,5.0,2.0,,
33,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-02-14,7,True,2020,5.0,2.0,,
34,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-02-15,7,False,2020,5.0,2.0,,
35,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-02-15,7,False,2020,5.0,2.0,,
36,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-02-15,7,False,2020,5.0,2.0,,
37,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-02-16,7,False,2020,5.0,2.0,,
38,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-03-06,10,True,2020,5.0,2.0,,
39,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-03-14,11,False,2020,5.0,2.0,,
40,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,2.0,2020-03-21,12,False,2020,5.0,2.0,,
41,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,2.0,2020-03-21,12,False,2020,5.0,2.0,,
42,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-04-01,14,True,2020,3.0,4.0,,
43,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-04-01,14,True,2020,3.0,4.0,,
44,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,2.0,2020-04-01,14,True,2020,3.0,4.0,,
45,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,2.0,2020-04-28,18,True,2020,4.0,3.0,,
46,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-06-04,23,True,2020,5.0,2.0,,
47,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-06-06,23,False,2020,5.0,2.0,,
48,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-06-12,24,True,2020,5.0,2.0,,
49,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-07-05,27,False,2020,5.0,2.0,,
50,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-08-23,34,False,2020,5.0,2.0,,
51,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-08-26,35,True,2020,5.0,2.0,,
52,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-09-15,38,True,2020,5.0,2.0,,
53,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-09-15,38,True,2020,5.0,2.0,,
54,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-09-22,39,True,2020,5.0,2.0,,
55,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2020-11-09,46,True,2020,5.0,2.0,,
56,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/3/1,9,True,2021,4.0,3.0,,
57,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/3/22,12,True,2021,5.0,2.0,,
58,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/3/26,12,True,2021,5.0,2.0,,
59,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/3/30,13,True,2021,4.0,3.0,,
60,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/4/11,14,False,2021,4.0,3.0,,
61,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/4/11,14,False,2021,4.0,3.0,,
62,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/4/9,14,True,2021,4.0,3.0,,
63,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/4/9,14,True,2021,4.0,3.0,,
64,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/5/12,19,True,2021,5.0,2.0,,
65,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/5/27,21,True,2021,5.0,2.0,,
66,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/6/7,23,True,2021,5.0,2.0,,
67,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/6/23,25,True,2021,5.0,2.0,,
68,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/7/15,28,True,2021,5.0,2.0,,
69,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,2.0,2021/7/22,29,True,2021,5.0,2.0,,
70,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/9/26,38,True,2021,3.0,4.0,,
71,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/10/25,43,True,2021,5.0,2.0,,
72,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/10/27,43,True,2021,5.0,2.0,,
73,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,2.0,2021/11/4,44,True,2021,5.0,2.0,,
74,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,2.0,2021/11/12,45,True,2021,5.0,2.0,,
75,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2021/12/23,51,True,2021,5.0,2.0,,
76,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-01-19,3,True,2022,5.0,2.0,202201.0,C-計價
77,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,2.0,2022-01-29,4,True,2022,5.0,2.0,202201.0,C-計價
78,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-02-07,6,True,2022,5.0,2.0,202202.0,C-計價
79,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-02-09,6,True,2022,5.0,2.0,202202.0,C-計價
80,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-02-12,6,False,2022,5.0,2.0,202202.0,C-計價
81,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-02-16,7,True,2022,5.0,2.0,202202.0,C-計價
82,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-02-25,8,True,2022,5.0,2.0,202202.0,C-計價
83,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-03-09,10,True,2022,5.0,2.0,202203.0,C-計價
84,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-03-10,10,True,2022,5.0,2.0,202203.0,C-計價
85,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-03-21,12,True,2022,5.0,2.0,202203.0,C-計價
86,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-04-12,15,True,2022,5.0,2.0,202204.0,C-計價
87,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-04-15,15,True,2022,5.0,2.0,202204.0,C-計價
88,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-04-29,17,True,2022,5.0,2.0,202204.0,C-計價
89,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-05-05,18,True,2022,5.0,2.0,202205.0,C-計價
90,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-05-12,19,True,2022,5.0,2.0,202205.0,C-計價
91,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-05-12,19,True,2022,5.0,2.0,202205.0,C-計價
92,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-05-13,19,True,2022,5.0,2.0,202205.0,C-計價
93,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-06-03,22,False,2022,4.0,3.0,202206.0,C-計價
94,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-09-13,37,True,2022,5.0,2.0,202209.0,C-計價
95,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-11-24,47,True,2022,5.0,2.0,202211.0,C-計價
96,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-12-27,52,True,2022,5.0,3.0,202212.0,C-計價
97,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-12-27,52,True,2022,5.0,3.0,202212.0,C-計價
98,DLN6,J10907500,康諾引流袋 (滅菌)2000C.C.,1.0,2022-12-28,52,True,2022,5.0,3.0,202212.0,C-計價
