,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN6,T01612024,不再吸入口罩,1.0,2019-01-13,2,False,2019,5.0,2.0,,
1,DLN6,T01612024,不再吸入口罩,1.0,2019-01-15,3,True,2019,5.0,2.0,,
2,DLN6,T01612024,不再吸入口罩,1.0,2019-01-26,4,False,2019,5.0,2.0,,
3,DLN6,T01612024,不再吸入口罩,1.0,2019-01-31,5,True,2019,5.0,2.0,,
4,DLN6,T01612024,不再吸入口罩,1.0,2019-02-01,5,True,2019,5.0,2.0,,
5,DLN6,T01612024,不再吸入口罩,1.0,2019-02-01,5,True,2019,5.0,2.0,,
6,DLN6,T01612024,不再吸入口罩,1.0,2019-02-15,7,True,2019,5.0,2.0,,
7,DLN6,T01612024,不再吸入口罩,1.0,2019-02-19,8,True,2019,5.0,2.0,,
8,DLN6,T01612024,不再吸入口罩,1.0,2019-02-23,8,False,2019,5.0,2.0,,
9,DLN6,T01612024,不再吸入口罩,1.0,2019-03-08,10,True,2019,5.0,2.0,,
10,DLN6,T01612024,不再吸入口罩,1.0,2019-03-13,11,True,2019,5.0,2.0,,
11,DLN6,T01612024,不再吸入口罩,1.0,2019-03-17,11,False,2019,5.0,2.0,,
12,DLN6,T01612024,不再吸入口罩,1.0,2019-03-18,12,True,2019,5.0,2.0,,
13,DLN6,T01612024,不再吸入口罩,2.0,2019-03-28,13,True,2019,5.0,2.0,,
14,DLN6,T01612024,不再吸入口罩,1.0,2019-03-31,13,False,2019,5.0,2.0,,
15,DLN6,T01612024,不再吸入口罩,1.0,2019-04-01,14,True,2019,3.0,4.0,,
16,DLN6,T01612024,不再吸入口罩,1.0,2019-04-08,15,True,2019,5.0,2.0,,
17,DLN6,T01612024,不再吸入口罩,1.0,2019-04-20,16,False,2019,5.0,2.0,,
18,DLN6,T01612024,不再吸入口罩,1.0,2019-04-22,17,True,2019,5.0,2.0,,
19,DLN6,T01612024,不再吸入口罩,1.0,2019-04-23,17,True,2019,5.0,2.0,,
20,DLN6,T01612024,不再吸入口罩,1.0,2019-04-26,17,True,2019,5.0,2.0,,
21,DLN6,T01612024,不再吸入口罩,1.0,2019-04-27,17,False,2019,5.0,2.0,,
22,DLN6,T01612024,不再吸入口罩,1.0,2019-05-13,20,True,2019,5.0,2.0,,
23,DLN6,T01612024,不再吸入口罩,1.0,2019-05-29,22,True,2019,5.0,2.0,,
24,DLN6,T01612024,不再吸入口罩,1.0,2019-06-06,23,True,2019,4.0,3.0,,
25,DLN6,T01612024,不再吸入口罩,1.0,2019-06-13,24,True,2019,5.0,2.0,,
26,DLN6,T01612024,不再吸入口罩,1.0,2019-06-16,24,False,2019,5.0,2.0,,
27,DLN6,T01612024,不再吸入口罩,1.0,2019-07-02,27,True,2019,5.0,2.0,,
28,DLN6,T01612024,不再吸入口罩,1.0,2019-07-11,28,True,2019,5.0,2.0,,
29,DLN6,T01612024,不再吸入口罩,1.0,2019-07-12,28,True,2019,5.0,2.0,,
30,DLN6,T01612024,不再吸入口罩,1.0,2019-07-12,28,True,2019,5.0,2.0,,
31,DLN6,T01612024,不再吸入口罩,1.0,2019-07-20,29,False,2019,5.0,2.0,,
32,DLN6,T01612024,不再吸入口罩,1.0,2019-07-21,29,False,2019,5.0,2.0,,
33,DLN6,T01612024,不再吸入口罩,1.0,2019-07-22,30,True,2019,5.0,2.0,,
34,DLN6,T01612024,不再吸入口罩,1.0,2019-07-25,30,True,2019,5.0,2.0,,
35,DLN6,T01612024,不再吸入口罩,1.0,2019-07-28,30,False,2019,5.0,2.0,,
36,DLN6,T01612024,不再吸入口罩,1.0,2019-07-31,31,True,2019,5.0,2.0,,
37,DLN6,T01612024,不再吸入口罩,1.0,2019-08-03,31,False,2019,5.0,2.0,,
38,DLN6,T01612024,不再吸入口罩,1.0,2019-08-12,33,True,2019,5.0,2.0,,
39,DLN6,T01612024,不再吸入口罩,1.0,2019-08-15,33,True,2019,5.0,2.0,,
40,DLN6,T01612024,不再吸入口罩,1.0,2019-08-22,34,True,2019,5.0,2.0,,
41,DLN6,T01612024,不再吸入口罩,1.0,2019-08-24,34,False,2019,5.0,2.0,,
42,DLN6,T01612024,不再吸入口罩,1.0,2019-08-27,35,True,2019,5.0,2.0,,
43,DLN6,T01612024,不再吸入口罩,1.0,2019-09-08,36,False,2019,4.0,3.0,,
44,DLN6,T01612024,不再吸入口罩,1.0,2019-09-09,37,True,2019,4.0,3.0,,
45,DLN6,T01612024,不再吸入口罩,1.0,2019-09-19,38,True,2019,5.0,2.0,,
46,DLN6,T01612024,不再吸入口罩,1.0,2019-10-01,40,False,2019,5.0,2.0,,
47,DLN6,T01612024,不再吸入口罩,1.0,2019-10-06,40,False,2019,5.0,2.0,,
48,DLN6,T01612024,不再吸入口罩,1.0,2019-10-20,42,False,2019,5.0,2.0,,
49,DLN6,T01612024,不再吸入口罩,1.0,2019-10-20,42,False,2019,5.0,2.0,,
50,DLN6,T01612024,不再吸入口罩,1.0,2019-11-02,44,False,2019,5.0,2.0,,
51,DLN6,T01612024,不再吸入口罩,1.0,2019-12-03,49,True,2019,5.0,2.0,,
52,DLN6,T01612024,不再吸入口罩,1.0,2019-12-08,49,False,2019,5.0,2.0,,
53,DLN6,T01612024,不再吸入口罩,1.0,2019-12-12,50,True,2019,5.0,2.0,,
54,DLN6,T01612024,不再吸入口罩,1.0,2019-12-13,50,True,2019,5.0,2.0,,
55,DLN6,T01612024,不再吸入口罩,1.0,2019-12-19,51,True,2019,5.0,2.0,,
56,DLN6,T01612024,不再吸入口罩,1.0,2019-12-20,51,True,2019,5.0,2.0,,
57,DLN6,T01612024,不再吸入口罩,1.0,2019-12-20,51,True,2019,5.0,2.0,,
58,DLN6,T01612024,不再吸入口罩,1.0,2019-12-26,52,True,2019,5.0,2.0,,
59,DLN6,T01612024,不再吸入口罩,1.0,2020-01-02,1,True,2020,2.0,3.0,,
60,DLN6,T01612024,不再吸入口罩,1.0,2020-01-08,2,True,2020,5.0,2.0,,
61,DLN6,T01612024,不再吸入口罩,1.0,2020-01-14,3,True,2020,5.0,2.0,,
62,DLN6,T01612024,不再吸入口罩,1.0,2020-01-15,3,True,2020,5.0,2.0,,
63,DLN6,T01612024,不再吸入口罩,1.0,2020-01-15,3,True,2020,5.0,2.0,,
64,DLN6,T01612024,不再吸入口罩,1.0,2020-02-08,6,False,2020,5.0,2.0,,
65,DLN6,T01612024,不再吸入口罩,1.0,2020-02-14,7,True,2020,5.0,2.0,,
66,DLN6,T01612024,不再吸入口罩,1.0,2020-02-15,7,False,2020,5.0,2.0,,
67,DLN6,T01612024,不再吸入口罩,1.0,2020-03-05,10,True,2020,5.0,2.0,,
68,DLN6,T01612024,不再吸入口罩,1.0,2020-03-06,10,True,2020,5.0,2.0,,
69,DLN6,T01612024,不再吸入口罩,1.0,2020-03-07,10,False,2020,5.0,2.0,,
70,DLN6,T01612024,不再吸入口罩,1.0,2020-03-08,10,False,2020,5.0,2.0,,
71,DLN6,T01612024,不再吸入口罩,1.0,2020-03-08,10,False,2020,5.0,2.0,,
72,DLN6,T01612024,不再吸入口罩,1.0,2020-03-08,10,False,2020,5.0,2.0,,
73,DLN6,T01612024,不再吸入口罩,1.0,2020-03-14,11,False,2020,5.0,2.0,,
74,DLN6,T01612024,不再吸入口罩,1.0,2020-03-20,12,True,2020,5.0,2.0,,
75,DLN6,T01612024,不再吸入口罩,1.0,2020-03-22,12,False,2020,5.0,2.0,,
76,DLN6,T01612024,不再吸入口罩,1.0,2020-04-14,16,True,2020,5.0,2.0,,
77,DLN6,T01612024,不再吸入口罩,1.0,2020-04-14,16,True,2020,5.0,2.0,,
78,DLN6,T01612024,不再吸入口罩,1.0,2020-04-20,17,True,2020,5.0,2.0,,
79,DLN6,T01612024,不再吸入口罩,1.0,2020-05-01,18,False,2020,4.0,3.0,,
80,DLN6,T01612024,不再吸入口罩,1.0,2020-05-03,18,False,2020,4.0,3.0,,
81,DLN6,T01612024,不再吸入口罩,1.0,2020-05-03,18,False,2020,4.0,3.0,,
82,DLN6,T01612024,不再吸入口罩,1.0,2020-05-04,19,False,2020,5.0,2.0,,
83,DLN6,T01612024,不再吸入口罩,1.0,2020-05-10,19,False,2020,5.0,2.0,,
84,DLN6,T01612024,不再吸入口罩,1.0,2020-05-16,20,False,2020,5.0,2.0,,
85,DLN6,T01612024,不再吸入口罩,1.0,2020-05-16,20,False,2020,5.0,2.0,,
86,DLN6,T01612024,不再吸入口罩,1.0,2020-05-25,22,True,2020,5.0,2.0,,
87,DLN6,T01612024,不再吸入口罩,1.0,2020-05-25,22,True,2020,5.0,2.0,,
88,DLN6,T01612024,不再吸入口罩,1.0,2020-05-30,22,False,2020,5.0,2.0,,
89,DLN6,T01612024,不再吸入口罩,1.0,2020-05-31,22,False,2020,5.0,2.0,,
90,DLN6,T01612024,不再吸入口罩,1.0,2020-06-02,23,True,2020,5.0,2.0,,
91,DLN6,T01612024,不再吸入口罩,1.0,2020-06-04,23,True,2020,5.0,2.0,,
92,DLN6,T01612024,不再吸入口罩,1.0,2020-06-17,25,True,2020,5.0,2.0,,
93,DLN6,T01612024,不再吸入口罩,1.0,2020-06-28,26,True,2020,3.0,4.0,,
94,DLN6,T01612024,不再吸入口罩,1.0,2020-07-03,27,True,2020,5.0,2.0,,
95,DLN6,T01612024,不再吸入口罩,1.0,2020-07-07,28,True,2020,5.0,2.0,,
96,DLN6,T01612024,不再吸入口罩,1.0,2020-07-10,28,True,2020,5.0,2.0,,
97,DLN6,T01612024,不再吸入口罩,1.0,2020-07-11,28,False,2020,5.0,2.0,,
98,DLN6,T01612024,不再吸入口罩,1.0,2020-07-13,29,True,2020,5.0,2.0,,
99,DLN6,T01612024,不再吸入口罩,1.0,2020-07-22,30,True,2020,5.0,2.0,,
100,DLN6,T01612024,不再吸入口罩,1.0,2020-07-24,30,True,2020,5.0,2.0,,
101,DLN6,T01612024,不再吸入口罩,1.0,2020-07-26,30,False,2020,5.0,2.0,,
102,DLN6,T01612024,不再吸入口罩,1.0,2020-07-27,31,True,2020,5.0,2.0,,
103,DLN6,T01612024,不再吸入口罩,1.0,2020-08-03,32,True,2020,5.0,2.0,,
104,DLN6,T01612024,不再吸入口罩,1.0,2020-08-09,32,False,2020,5.0,2.0,,
105,DLN6,T01612024,不再吸入口罩,1.0,2020-08-09,32,False,2020,5.0,2.0,,
106,DLN6,T01612024,不再吸入口罩,1.0,2020-08-11,33,True,2020,5.0,2.0,,
107,DLN6,T01612024,不再吸入口罩,1.0,2020-08-17,34,True,2020,5.0,2.0,,
108,DLN6,T01612024,不再吸入口罩,1.0,2020-08-23,34,False,2020,5.0,2.0,,
109,DLN6,T01612024,不再吸入口罩,1.0,2020-08-28,35,True,2020,5.0,2.0,,
110,DLN6,T01612024,不再吸入口罩,1.0,2020-09-02,36,True,2020,4.0,3.0,,
111,DLN6,T01612024,不再吸入口罩,1.0,2020-09-13,37,False,2020,5.0,2.0,,
112,DLN6,T01612024,不再吸入口罩,1.0,2020-09-16,38,True,2020,5.0,2.0,,
113,DLN6,T01612024,不再吸入口罩,1.0,2020-09-26,39,False,2020,5.0,2.0,,
