,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-01-07,2,True,2019,5.0,2.0,,
1,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-01-07,2,True,2019,5.0,2.0,,
2,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-01-14,3,True,2019,5.0,2.0,,
3,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-01-19,3,False,2019,5.0,2.0,,
4,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-01-22,4,True,2019,5.0,2.0,,
5,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-01-23,4,True,2019,5.0,2.0,,
6,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-01-25,4,True,2019,5.0,2.0,,
7,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-02-11,7,True,2019,5.0,2.0,,
8,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-02-13,7,True,2019,5.0,2.0,,
9,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-02-13,7,True,2019,5.0,2.0,,
10,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-02-15,7,True,2019,5.0,2.0,,
11,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-03-04,10,True,2019,5.0,2.0,,
12,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-03-06,10,True,2019,5.0,2.0,,
13,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-03-12,11,True,2019,5.0,2.0,,
14,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-03-13,11,True,2019,5.0,2.0,,
15,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-03-25,13,True,2019,5.0,2.0,,
16,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-03-27,13,True,2019,5.0,2.0,,
17,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-03-27,13,True,2019,5.0,2.0,,
18,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-03-29,13,True,2019,5.0,2.0,,
19,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-03-29,13,True,2019,5.0,2.0,,
20,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2.0,2019-04-08,15,True,2019,5.0,2.0,,
21,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2.0,2019-04-08,15,True,2019,5.0,2.0,,
22,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-04-08,15,True,2019,5.0,2.0,,
23,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2.0,2019-04-10,15,True,2019,5.0,2.0,,
24,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-04-15,16,True,2019,5.0,2.0,,
25,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-04-15,16,True,2019,5.0,2.0,,
26,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,2.0,2019-04-16,16,True,2019,5.0,2.0,,
27,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-04-19,16,True,2019,5.0,2.0,,
28,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-04-23,17,True,2019,5.0,2.0,,
29,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-04-24,17,True,2019,5.0,2.0,,
30,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-05-06,19,True,2019,5.0,2.0,,
31,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-05-09,19,True,2019,5.0,2.0,,
32,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-05-13,20,True,2019,5.0,2.0,,
33,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-05-15,20,True,2019,5.0,2.0,,
34,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-05-20,21,True,2019,5.0,2.0,,
35,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-05-22,21,True,2019,5.0,2.0,,
36,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-05-27,22,True,2019,5.0,2.0,,
37,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-05-29,22,True,2019,5.0,2.0,,
38,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-06-12,24,True,2019,5.0,2.0,,
39,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-06-17,25,True,2019,5.0,2.0,,
40,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-07-02,27,True,2019,5.0,2.0,,
41,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-07-11,28,True,2019,5.0,2.0,,
42,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-07-19,29,True,2019,5.0,2.0,,
43,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-07-31,31,True,2019,5.0,2.0,,
44,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-08-07,32,True,2019,5.0,2.0,,
45,DLN6,U00202042,塑膠三路考克 3Way附Luer Lock,1.0,2019-08-08,32,True,2019,5.0,2.0,,
