,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-02-27,9,True,2019,3.0,4.0,,
1,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-03-12,11,True,2019,5.0,2.0,,
2,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-06-06,23,True,2019,4.0,3.0,,
3,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-06-08,23,False,2019,4.0,3.0,,
4,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2019-07-14,28,False,2019,5.0,2.0,,
5,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-10-08,41,True,2019,3.0,4.0,,
6,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-10-14,42,True,2019,5.0,2.0,,
7,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-10-17,42,True,2019,5.0,2.0,,
8,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-10-21,43,True,2019,5.0,2.0,,
9,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-11-08,45,True,2019,5.0,2.0,,
10,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-11-10,45,False,2019,5.0,2.0,,
11,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-12-15,50,False,2019,5.0,2.0,,
12,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2019-12-20,51,True,2019,5.0,2.0,,
13,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-01-08,2,True,2020,5.0,2.0,,
14,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-01-26,4,False,2020,3.0,4.0,,
15,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-01-26,4,False,2020,3.0,4.0,,
16,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2020-02-08,6,False,2020,5.0,2.0,,
17,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-02-20,8,True,2020,5.0,2.0,,
18,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-03-13,11,True,2020,5.0,2.0,,
19,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-04-08,15,True,2020,5.0,2.0,,
20,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-04-14,16,True,2020,5.0,2.0,,
21,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-04-14,16,True,2020,5.0,2.0,,
22,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-04-21,17,True,2020,5.0,2.0,,
23,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-05-03,18,False,2020,4.0,3.0,,
24,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-05-05,19,False,2020,5.0,2.0,,
25,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-05-21,21,True,2020,5.0,2.0,,
26,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-06-06,23,False,2020,5.0,2.0,,
27,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2020-06-17,25,True,2020,5.0,2.0,,
28,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-06-28,26,True,2020,3.0,4.0,,
29,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-06-28,26,True,2020,3.0,4.0,,
30,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-07-10,28,True,2020,5.0,2.0,,
31,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-07-17,29,True,2020,5.0,2.0,,
32,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-08-25,35,True,2020,5.0,2.0,,
33,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-08-25,35,True,2020,5.0,2.0,,
34,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-10-06,41,False,2020,4.0,3.0,,
35,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-10-27,44,True,2020,5.0,2.0,,
36,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-11-30,49,True,2020,5.0,2.0,,
37,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-11-30,49,True,2020,5.0,2.0,,
38,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-12-05,49,False,2020,5.0,2.0,,
39,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-12-20,51,False,2020,5.0,2.0,,
40,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2020-12-26,52,False,2020,5.0,2.0,,
41,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021/1/16,2,False,2021,5.0,2.0,,
42,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021/1/18,3,True,2021,5.0,2.0,,
43,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2021/3/6,9,False,2021,4.0,3.0,,
44,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021/3/16,11,True,2021,5.0,2.0,,
45,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021/4/19,16,True,2021,5.0,2.0,,
46,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021/4/19,16,True,2021,5.0,2.0,,
47,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021/4/26,17,True,2021,5.0,2.0,,
48,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2021/4/26,17,True,2021,5.0,2.0,,
49,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021/5/23,20,False,2021,5.0,2.0,,
50,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021/5/26,21,True,2021,5.0,2.0,,
51,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021/8/8,31,False,2021,5.0,2.0,,
52,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2021/10/20,42,True,2021,5.0,2.0,,
53,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-02-08,6,True,2022,5.0,2.0,202202.0,C-計價
54,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-03-16,11,True,2022,5.0,2.0,202203.0,C-計價
55,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-04-13,15,True,2022,5.0,2.0,202204.0,C-計價
56,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-04-17,15,False,2022,5.0,2.0,202204.0,C-計價
57,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-04-21,16,True,2022,5.0,2.0,202204.0,C-計價
58,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-04-24,16,True,2022,5.0,2.0,202204.0,C-計價
59,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-04-29,17,True,2022,5.0,2.0,202204.0,C-計價
60,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-05-17,20,True,2022,5.0,2.0,202205.0,C-計價
61,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-06-08,23,True,2022,5.0,2.0,202206.0,C-計價
62,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-08-19,33,True,2022,5.0,2.0,202208.0,C-計價
63,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-09-22,38,True,2022,5.0,2.0,202209.0,C-計價
64,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-09-22,38,True,2022,5.0,2.0,202209.0,C-計價
65,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-10-07,40,False,2022,5.0,2.0,202210.0,C-計價
66,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-10-11,41,True,2022,4.0,3.0,202210.0,C-計價
67,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),2.0,2022-10-14,41,True,2022,4.0,3.0,202210.0,C-計價
68,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-12-16,50,True,2022,5.0,2.0,202212.0,C-計價
69,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-12-21,51,True,2022,5.0,2.0,202212.0,C-計價
70,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-12-27,52,True,2022,5.0,3.0,202212.0,C-計價
71,DLN6,Y12876111,康威 多愛膚親水性敷料(人工皮),1.0,2022-12-30,52,True,2022,5.0,3.0,202212.0,C-計價
