,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLRI,A00120102,10cc塑膠注射空針 有螺紋,2.0,2022-01-14,True,2,2022,5.0,2.0,202201.0,T-不計價
1,DLRI,A00120102,10cc塑膠注射空針 有螺紋,1.0,2022-02-18,True,7,2022,5.0,2.0,202202.0,T-不計價
2,DLRI,A00120102,10cc塑膠注射空針 有螺紋,1.0,2022-02-19,False,7,2022,5.0,2.0,202202.0,T-不計價
3,DLRI,A00120102,10cc塑膠注射空針 有螺紋,1.0,2022-02-19,False,7,2022,5.0,2.0,202202.0,T-不計價
4,DLRI,A00120102,10cc塑膠注射空針 有螺紋,1.0,2022-02-20,False,7,2022,5.0,2.0,202202.0,T-不計價
5,DLRI,A00120102,10cc塑膠注射空針 有螺紋,1.0,2022-02-21,True,8,2022,5.0,2.0,202202.0,T-不計價
6,DLRI,A00120102,10cc塑膠注射空針 有螺紋,2.0,2022-02-21,True,8,2022,5.0,2.0,202202.0,T-不計價
7,DLRI,A00120102,10cc塑膠注射空針 有螺紋,2.0,2022-02-22,True,8,2022,5.0,2.0,202202.0,T-不計價
8,DLRI,A00120102,10cc塑膠注射空針 有螺紋,1.0,2022-02-23,True,8,2022,5.0,2.0,202202.0,T-不計價
9,DLRI,A00120102,10cc塑膠注射空針 有螺紋,1.0,2022-02-25,True,8,2022,5.0,2.0,202202.0,T-不計價
10,DLRI,A00120102,10cc塑膠注射空針 有螺紋,1.0,2022-02-25,True,8,2022,5.0,2.0,202202.0,T-不計價
11,DLRI,A00120102,10cc塑膠注射空針 有螺紋,2.0,2022-02-26,False,8,2022,5.0,2.0,202202.0,T-不計價
12,DLRI,A00120102,10cc塑膠注射空針 有螺紋,1.0,2022-02-27,False,8,2022,5.0,2.0,202202.0,T-不計價
13,DLRI,A00120102,10cc塑膠注射空針 有螺紋,1.0,2022-02-27,False,8,2022,5.0,2.0,202202.0,T-不計價
14,DLRI,A00120102,10cc塑膠注射空針 有螺紋,2.0,2022-03-01,True,9,2022,4.0,3.0,202203.0,T-不計價
15,DLRI,A00120102,10cc塑膠注射空針 有螺紋,2.0,2022-03-01,True,9,2022,4.0,3.0,202203.0,T-不計價
16,DLRI,A00120102,10cc塑膠注射空針 有螺紋,1.0,2022-03-01,True,9,2022,4.0,3.0,202203.0,T-不計價
17,DLRI,A00120102,10cc塑膠注射空針 有螺紋,1.0,2022-03-02,True,9,2022,4.0,3.0,202203.0,T-不計價
