,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLRI,A01130509,塑膠灌食空針,1.0,2019-01-05,1,False,2019,3.0,3.0,,
1,DLRI,A01130509,塑膠灌食空針,1.0,2019-01-13,2,False,2019,5.0,2.0,,
2,DLRI,A01130509,塑膠灌食空針,1.0,2019-01-17,3,True,2019,5.0,2.0,,
3,DLRI,A01130509,塑膠灌食空針,1.0,2019-02-17,7,False,2019,5.0,2.0,,
4,DLRI,A01130509,塑膠灌食空針,1.0,2019-02-25,9,True,2019,3.0,4.0,,
5,DLRI,A01130509,塑膠灌食空針,1.0,2019-02-25,9,True,2019,3.0,4.0,,
6,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-01,9,True,2019,3.0,4.0,,
7,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-04,10,True,2019,5.0,2.0,,
8,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-04,10,True,2019,5.0,2.0,,
9,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-08,10,True,2019,5.0,2.0,,
10,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-08,10,True,2019,5.0,2.0,,
11,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-08,10,True,2019,5.0,2.0,,
12,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-08,10,True,2019,5.0,2.0,,
13,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-13,11,True,2019,5.0,2.0,,
14,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-21,12,True,2019,5.0,2.0,,
15,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-25,13,True,2019,5.0,2.0,,
16,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-25,13,True,2019,5.0,2.0,,
17,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-25,13,True,2019,5.0,2.0,,
18,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-25,13,True,2019,5.0,2.0,,
19,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-26,13,True,2019,5.0,2.0,,
20,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-29,13,True,2019,5.0,2.0,,
21,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-30,13,False,2019,5.0,2.0,,
22,DLRI,A01130509,塑膠灌食空針,1.0,2019-03-31,13,False,2019,5.0,2.0,,
23,DLRI,A01130509,塑膠灌食空針,1.0,2019-04-06,14,False,2019,3.0,4.0,,
24,DLRI,A01130509,塑膠灌食空針,1.0,2019-04-12,15,True,2019,5.0,2.0,,
25,DLRI,A01130509,塑膠灌食空針,1.0,2019-04-19,16,True,2019,5.0,2.0,,
26,DLRI,A01130509,塑膠灌食空針,1.0,2019-05-14,20,True,2019,5.0,2.0,,
27,DLRI,A01130509,塑膠灌食空針,1.0,2019-05-15,20,True,2019,5.0,2.0,,
28,DLRI,A01130509,塑膠灌食空針,1.0,2019-05-15,20,True,2019,5.0,2.0,,
