,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2019-01-01,1,False,2019,3.0,3.0,,
1,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2019-01-01,1,False,2019,3.0,3.0,,
2,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-01-02,1,True,2019,3.0,3.0,,
3,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2019-01-03,1,True,2019,3.0,3.0,,
4,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,12.0,2019-01-05,1,False,2019,3.0,3.0,,
5,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2019-01-05,1,False,2019,3.0,3.0,,
6,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-01-06,1,False,2019,3.0,3.0,,
7,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-01-06,1,False,2019,3.0,3.0,,
8,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2019-01-06,1,False,2019,3.0,3.0,,
9,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2019-12-30,1,True,2019,3.0,3.0,,
10,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-12-30,1,True,2019,3.0,3.0,,
11,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,5.0,2019-01-07,2,True,2019,5.0,2.0,,
12,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-01-07,2,True,2019,5.0,2.0,,
13,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-01-08,2,True,2019,5.0,2.0,,
14,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-01-09,2,True,2019,5.0,2.0,,
15,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-01-09,2,True,2019,5.0,2.0,,
16,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,4.0,2019-01-09,2,True,2019,5.0,2.0,,
17,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,4.0,2019-01-11,2,True,2019,5.0,2.0,,
18,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2019-01-12,2,False,2019,5.0,2.0,,
19,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,4.0,2019-01-12,2,False,2019,5.0,2.0,,
20,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,4.0,2019-01-13,2,False,2019,5.0,2.0,,
21,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,7.0,2019-01-13,2,False,2019,5.0,2.0,,
22,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-01-14,3,True,2019,5.0,2.0,,
23,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,2019-01-14,3,True,2019,5.0,2.0,,
24,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,6.0,2019-01-15,3,True,2019,5.0,2.0,,
25,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2019-01-16,3,True,2019,5.0,2.0,,
26,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-01-17,3,True,2019,5.0,2.0,,
27,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,5.0,2019-01-19,3,False,2019,5.0,2.0,,
28,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,2019-01-20,3,False,2019,5.0,2.0,,
29,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-01-23,4,True,2019,5.0,2.0,,
30,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-01-24,4,True,2019,5.0,2.0,,
31,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,2.0,2019-01-25,4,True,2019,5.0,2.0,,
32,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-01-29,5,True,2019,5.0,2.0,,
33,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,3.0,2019-02-07,6,False,2019,0.0,7.0,,
34,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-02-07,6,False,2019,0.0,7.0,,
35,DLRI,A02322259,〞美迪克〞安全性靜脈留置針  22G,1.0,2019-02-07,6,False,2019,0.0,7.0,,
