,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLRI,B00306050,彈性紗捲,1.0,2019-01-16,3,True,2019,5.0,2.0,,
1,DLRI,B00306050,彈性紗捲,1.0,2019-01-17,3,True,2019,5.0,2.0,,
2,DLRI,B00306050,彈性紗捲,1.0,2021-03-21,11,False,2021,5.0,2.0,,
3,DLRI,B00306050,彈性紗捲,2.0,2021-03-22,12,True,2021,5.0,2.0,,
4,DLRI,B00306050,彈性紗捲,1.0,2021-03-23,12,True,2021,5.0,2.0,,
5,DLRI,B00306050,彈性紗捲,1.0,2021-03-24,12,True,2021,5.0,2.0,,
6,DLRI,B00306050,彈性紗捲,1.0,2021-07-15,28,True,2021,5.0,2.0,,
7,DLRI,B00306050,彈性紗捲,1.0,2021-07-17,28,False,2021,5.0,2.0,,
8,DLRI,B00306050,彈性紗捲,1.0,2021-07-21,29,True,2021,5.0,2.0,,
9,DLRI,B00306050,彈性紗捲,1.0,2021-07-26,30,True,2021,5.0,2.0,,
10,DLRI,B00306050,彈性紗捲,1.0,2021-07-30,30,True,2021,5.0,2.0,,
11,DLRI,B00306050,彈性紗捲,1.0,2021-08-09,32,True,2021,5.0,2.0,,
12,DLRI,B00306050,彈性紗捲,1.0,2021-08-13,32,True,2021,5.0,2.0,,
13,DLRI,B00306050,彈性紗捲,1.0,2021-08-18,33,True,2021,5.0,2.0,,
14,DLRI,B00306050,彈性紗捲,1.0,2021-09-06,36,True,2021,5.0,2.0,,
15,DLRI,B00306050,彈性紗捲,1.0,2021-09-10,36,True,2021,5.0,2.0,,
16,DLRI,B00306050,彈性紗捲,1.0,2021-09-11,36,False,2021,5.0,2.0,,
17,DLRI,B00306050,彈性紗捲,1.0,2021-09-18,37,True,2021,5.0,2.0,,
18,DLRI,B00306050,彈性紗捲,1.0,2021-09-28,39,True,2021,5.0,2.0,,
19,DLRI,B00306050,彈性紗捲,1.0,2021-09-29,39,True,2021,5.0,2.0,,
20,DLRI,B00306050,彈性紗捲,1.0,2021-10-11,41,True,2021,4.0,3.0,,
21,DLRI,B00306050,彈性紗捲,1.0,2021-10-13,41,True,2021,4.0,3.0,,
22,DLRI,B00306050,彈性紗捲,1.0,2021-10-15,41,True,2021,4.0,3.0,,
23,DLRI,B00306050,彈性紗捲,1.0,2021-10-16,41,False,2021,4.0,3.0,,
24,DLRI,B00306050,彈性紗捲,1.0,2021-10-26,43,True,2021,5.0,2.0,,
25,DLRI,B00306050,彈性紗捲,1.0,2021-10-29,43,True,2021,5.0,2.0,,
26,DLRI,B00306050,彈性紗捲,1.0,2021-10-30,43,False,2021,5.0,2.0,,
27,DLRI,B00306050,彈性紗捲,1.0,2021-11-06,44,False,2021,5.0,2.0,,
28,DLRI,B00306050,彈性紗捲,1.0,2021-11-09,45,True,2021,5.0,2.0,,
29,DLRI,B00306050,彈性紗捲,1.0,2021-11-11,45,True,2021,5.0,2.0,,
30,DLRI,B00306050,彈性紗捲,1.0,2021-11-16,46,True,2021,5.0,2.0,,
31,DLRI,B00306050,彈性紗捲,1.0,2021-12-06,49,True,2021,5.0,2.0,,
32,DLRI,B00306050,彈性紗捲,1.0,2021-12-16,50,True,2021,5.0,2.0,,
33,DLRI,B00306050,彈性紗捲,1.0,2021-12-21,51,True,2021,5.0,2.0,,
34,DLRI,B00306050,彈性紗捲,2.0,2021-12-28,52,True,2021,4.0,2.0,,
35,DLRI,B00306050,彈性紗捲,2.0,2022-01-04,1,True,2022,5.0,2.0,202201.0,T-不計價
36,DLRI,B00306050,彈性紗捲,1.0,2022-01-07,1,True,2022,5.0,2.0,202201.0,T-不計價
37,DLRI,B00306050,彈性紗捲,2.0,2022-01-08,1,False,2022,5.0,2.0,202201.0,T-不計價
38,DLRI,B00306050,彈性紗捲,2.0,2022-01-22,3,False,2022,5.0,2.0,202201.0,T-不計價
