,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLRI,C09113003,加長型氣切套管,1.0,2019-01-07,2,True,2019,5.0,2.0,,
1,DLRI,C09113003,加長型氣切套管,1.0,2019-01-18,3,True,2019,5.0,2.0,,
2,DLRI,C09113003,加長型氣切套管,1.0,2019-01-24,4,True,2019,5.0,2.0,,
3,DLRI,C09113003,加長型氣切套管,1.0,2019-02-01,5,True,2019,5.0,2.0,,
4,DLRI,C09113003,加長型氣切套管,1.0,2019-02-01,5,True,2019,5.0,2.0,,
5,DLRI,C09113003,加長型氣切套管,1.0,2019-02-11,7,True,2019,5.0,2.0,,
6,DLRI,C09113003,加長型氣切套管,1.0,2019-02-12,7,True,2019,5.0,2.0,,
7,DLRI,C09113003,加長型氣切套管,1.0,2019-02-18,8,True,2019,5.0,2.0,,
8,DLRI,C09113003,加長型氣切套管,1.0,2019-03-04,10,True,2019,5.0,2.0,,
9,DLRI,C09113003,加長型氣切套管,1.0,2019-03-04,10,True,2019,5.0,2.0,,
10,DLRI,C09113003,加長型氣切套管,1.0,2019-03-11,11,True,2019,5.0,2.0,,
11,DLRI,C09113003,加長型氣切套管,1.0,2019-03-14,11,True,2019,5.0,2.0,,
12,DLRI,C09113003,加長型氣切套管,1.0,2019-03-19,12,True,2019,5.0,2.0,,
13,DLRI,C09113003,加長型氣切套管,1.0,2019-03-19,12,True,2019,5.0,2.0,,
14,DLRI,C09113003,加長型氣切套管,1.0,2019-03-25,13,True,2019,5.0,2.0,,
15,DLRI,C09113003,加長型氣切套管,1.0,2019-04-08,15,True,2019,5.0,2.0,,
16,DLRI,C09113003,加長型氣切套管,1.0,2019-04-08,15,True,2019,5.0,2.0,,
17,DLRI,C09113003,加長型氣切套管,1.0,2019-04-16,16,True,2019,5.0,2.0,,
18,DLRI,C09113003,加長型氣切套管,1.0,2019-04-24,17,True,2019,5.0,2.0,,
19,DLRI,C09113003,加長型氣切套管,1.0,2019-04-24,17,True,2019,5.0,2.0,,
20,DLRI,C09113003,加長型氣切套管,1.0,2019-04-25,17,True,2019,5.0,2.0,,
21,DLRI,C09113003,加長型氣切套管,1.0,2019-05-10,19,True,2019,5.0,2.0,,
22,DLRI,C09113003,加長型氣切套管,1.0,2019-05-10,19,True,2019,5.0,2.0,,
23,DLRI,C09113003,加長型氣切套管,1.0,2019-05-21,21,True,2019,5.0,2.0,,
24,DLRI,C09113003,加長型氣切套管,1.0,2019-05-27,22,True,2019,5.0,2.0,,
25,DLRI,C09113003,加長型氣切套管,1.0,2019-06-12,24,True,2019,5.0,2.0,,
26,DLRI,C09113003,加長型氣切套管,1.0,2019-06-12,24,True,2019,5.0,2.0,,
27,DLRI,C09113003,加長型氣切套管,1.0,2019-06-25,26,True,2019,5.0,2.0,,
28,DLRI,C09113003,加長型氣切套管,1.0,2019-06-26,26,True,2019,5.0,2.0,,
29,DLRI,C09113003,加長型氣切套管,1.0,2019-06-27,26,True,2019,5.0,2.0,,
30,DLRI,C09113003,加長型氣切套管,1.0,2019-07-12,28,True,2019,5.0,2.0,,
31,DLRI,C09113003,加長型氣切套管,1.0,2019-07-12,28,True,2019,5.0,2.0,,
32,DLRI,C09113003,加長型氣切套管,1.0,2019-07-25,30,True,2019,5.0,2.0,,
33,DLRI,C09113003,加長型氣切套管,1.0,2019-07-26,30,True,2019,5.0,2.0,,
34,DLRI,C09113003,加長型氣切套管,1.0,2019-07-29,31,True,2019,5.0,2.0,,
35,DLRI,C09113003,加長型氣切套管,1.0,2019-08-12,33,True,2019,5.0,2.0,,
36,DLRI,C09113003,加長型氣切套管,1.0,2019-08-12,33,True,2019,5.0,2.0,,
37,DLRI,C09113003,加長型氣切套管,1.0,2019-08-20,34,True,2019,5.0,2.0,,
38,DLRI,C09113003,加長型氣切套管,1.0,2019-08-26,35,True,2019,5.0,2.0,,
39,DLRI,C09113003,加長型氣切套管,1.0,2019-08-27,35,True,2019,5.0,2.0,,
40,DLRI,C09113003,加長型氣切套管,1.0,2019-08-29,35,True,2019,5.0,2.0,,
41,DLRI,C09113003,加長型氣切套管,1.0,2019-09-03,36,True,2019,4.0,3.0,,
42,DLRI,C09113003,加長型氣切套管,1.0,2019-09-17,38,True,2019,5.0,2.0,,
43,DLRI,C09113003,加長型氣切套管,1.0,2019-09-17,38,True,2019,5.0,2.0,,
44,DLRI,C09113003,加長型氣切套管,1.0,2019-09-17,38,True,2019,5.0,2.0,,
45,DLRI,C09113003,加長型氣切套管,1.0,2019-09-17,38,True,2019,5.0,2.0,,
46,DLRI,C09113003,加長型氣切套管,1.0,2019-09-26,39,True,2019,5.0,2.0,,
47,DLRI,C09113003,加長型氣切套管,1.0,2019-09-27,39,True,2019,5.0,2.0,,
48,DLRI,C09113003,加長型氣切套管,1.0,2019-09-30,40,True,2019,5.0,2.0,,
49,DLRI,C09113003,加長型氣切套管,1.0,2019-10-03,40,False,2019,5.0,2.0,,
50,DLRI,C09113003,加長型氣切套管,1.0,2019-10-03,40,False,2019,5.0,2.0,,
51,DLRI,C09113003,加長型氣切套管,1.0,2019-10-11,41,True,2019,3.0,4.0,,
52,DLRI,C09113003,加長型氣切套管,1.0,2019-10-17,42,True,2019,5.0,2.0,,
53,DLRI,C09113003,加長型氣切套管,1.0,2019-10-17,42,True,2019,5.0,2.0,,
54,DLRI,C09113003,加長型氣切套管,1.0,2019-10-17,42,True,2019,5.0,2.0,,
55,DLRI,C09113003,加長型氣切套管,1.0,2019-10-17,42,True,2019,5.0,2.0,,
56,DLRI,C09113003,加長型氣切套管,1.0,2019-10-28,44,True,2019,5.0,2.0,,
57,DLRI,C09113003,加長型氣切套管,1.0,2019-10-29,44,True,2019,5.0,2.0,,
