,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2020-06-22,True,26,2020,3.0,4.0,,
1,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2020-07-23,True,30,2020,5.0,2.0,,
2,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2021-08-13,True,32,2021,5.0,2.0,,
3,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2021-09-13,True,37,2021,5.0,2.0,,
4,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2021-09-20,False,38,2021,3.0,4.0,,
5,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2021-10-15,True,41,2021,4.0,3.0,,
6,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2021-10-21,True,42,2021,5.0,2.0,,
7,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2021-11-22,True,47,2021,5.0,2.0,,
8,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2021-12-24,True,51,2021,5.0,2.0,,
9,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2021-12-27,True,52,2021,4.0,2.0,,
10,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2021-12-29,True,52,2021,4.0,2.0,,
11,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-01-19,True,3,2022,5.0,2.0,202201.0,C-計價
12,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-01-24,True,4,2022,5.0,2.0,202201.0,C-計價
13,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-01-27,True,4,2022,5.0,2.0,202201.0,C-計價
14,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-01-28,True,4,2022,5.0,2.0,202201.0,C-計價
15,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-02-21,True,8,2022,5.0,2.0,202202.0,C-計價
16,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-03-01,True,9,2022,4.0,3.0,202203.0,C-計價
17,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-03-04,True,9,2022,4.0,3.0,202203.0,C-計價
18,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-03-21,True,12,2022,5.0,2.0,202203.0,C-計價
19,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-04-21,True,16,2022,5.0,2.0,202204.0,C-計價
20,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-04-25,True,17,2022,5.0,2.0,202204.0,C-計價
21,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-05-26,True,21,2022,5.0,2.0,202205.0,C-計價
22,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-06-24,True,25,2022,5.0,2.0,202206.0,C-計價
23,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-06-30,True,26,2022,5.0,2.0,202206.0,C-計價
24,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-07-28,True,30,2022,5.0,2.0,202207.0,C-計價
25,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-07-28,True,30,2022,5.0,2.0,202207.0,C-計價
26,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-08-02,True,31,2022,5.0,2.0,202208.0,C-計價
27,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-08-18,True,33,2022,5.0,2.0,202208.0,C-計價
28,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-08-31,True,35,2022,5.0,2.0,202208.0,C-計價
29,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-09-02,True,35,2022,5.0,2.0,202209.0,C-計價
30,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-09-06,True,36,2022,4.0,3.0,202209.0,C-計價
31,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-09-15,True,37,2022,5.0,2.0,202209.0,C-計價
32,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-09-15,True,37,2022,5.0,2.0,202209.0,C-計價
33,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-09-19,True,38,2022,5.0,2.0,202209.0,C-計價
34,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-09-26,True,39,2022,5.0,2.0,202209.0,C-計價
35,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-09-30,True,39,2022,5.0,2.0,202209.0,C-計價
36,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-10-18,True,42,2022,5.0,2.0,202210.0,C-計價
37,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-10-26,True,43,2022,5.0,2.0,202210.0,C-計價
38,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-11-01,True,44,2022,5.0,2.0,202211.0,C-計價
39,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-11-08,True,45,2022,5.0,2.0,202211.0,C-計價
40,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-11-21,True,47,2022,5.0,2.0,202211.0,C-計價
41,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-11-28,True,48,2022,5.0,2.0,202211.0,C-計價
42,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-12-01,True,48,2022,5.0,2.0,202212.0,C-計價
43,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-12-21,True,51,2022,5.0,2.0,202212.0,C-計價
44,DLRI,C09133750,氣切套管 Cuff 7.5,1.0,2022-12-29,True,52,2022,5.0,3.0,202212.0,C-計價
