,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2021-06-27,False,25,2021,5.0,2.0,,
1,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2021-06-30,True,26,2021,5.0,2.0,,
2,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-05-18,True,20,2022,5.0,2.0,202205.0,T-不計價
3,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-11,False,23,2022,5.0,2.0,202206.0,T-不計價
4,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-11,False,23,2022,5.0,2.0,202206.0,T-不計價
5,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-11,False,23,2022,5.0,2.0,202206.0,T-不計價
6,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-11,False,23,2022,5.0,2.0,202206.0,T-不計價
7,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-11,False,23,2022,5.0,2.0,202206.0,T-不計價
8,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-12,False,23,2022,5.0,2.0,202206.0,T-不計價
9,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-12,False,23,2022,5.0,2.0,202206.0,T-不計價
10,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-13,True,24,2022,5.0,2.0,202206.0,T-不計價
11,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-13,True,24,2022,5.0,2.0,202206.0,T-不計價
12,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-13,True,24,2022,5.0,2.0,202206.0,T-不計價
13,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-14,True,24,2022,5.0,2.0,202206.0,T-不計價
14,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-14,True,24,2022,5.0,2.0,202206.0,T-不計價
15,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-15,True,24,2022,5.0,2.0,202206.0,T-不計價
16,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-15,True,24,2022,5.0,2.0,202206.0,T-不計價
17,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-15,True,24,2022,5.0,2.0,202206.0,T-不計價
18,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-16,True,24,2022,5.0,2.0,202206.0,T-不計價
19,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-16,True,24,2022,5.0,2.0,202206.0,T-不計價
20,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-17,True,24,2022,5.0,2.0,202206.0,T-不計價
21,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-17,True,24,2022,5.0,2.0,202206.0,T-不計價
22,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-18,False,24,2022,5.0,2.0,202206.0,T-不計價
23,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-18,False,24,2022,5.0,2.0,202206.0,T-不計價
24,DLRI,F01321004,廢液收集器-開刀房區(有止溢閥),1.0,2022-06-18,False,24,2022,5.0,2.0,202206.0,T-不計價
