,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-01-02,1,True,2019,3.0,3.0,,
1,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-01-15,3,True,2019,5.0,2.0,,
2,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-01-16,3,True,2019,5.0,2.0,,
3,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-01-21,4,True,2019,5.0,2.0,,
4,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-01-21,4,True,2019,5.0,2.0,,
5,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-01-21,4,True,2019,5.0,2.0,,
6,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-01-21,4,True,2019,5.0,2.0,,
7,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-01-21,4,True,2019,5.0,2.0,,
8,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-01-23,4,True,2019,5.0,2.0,,
9,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-01-27,4,False,2019,5.0,2.0,,
10,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-01-30,5,True,2019,5.0,2.0,,
11,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-02-02,5,True,2019,5.0,2.0,,
12,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-02-04,6,False,2019,0.0,7.0,,
13,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-02-22,8,True,2019,5.0,2.0,,
14,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-02-22,8,True,2019,5.0,2.0,,
15,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-02-22,8,True,2019,5.0,2.0,,
16,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-02-22,8,True,2019,5.0,2.0,,
17,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-02-22,8,True,2019,5.0,2.0,,
18,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-02-22,8,True,2019,5.0,2.0,,
19,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-02-22,8,True,2019,5.0,2.0,,
20,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-02-22,8,True,2019,5.0,2.0,,
21,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-02-22,8,True,2019,5.0,2.0,,
22,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-03-17,11,False,2019,5.0,2.0,,
23,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-03-19,12,True,2019,5.0,2.0,,
24,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-03-20,12,True,2019,5.0,2.0,,
25,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-05-18,20,False,2019,5.0,2.0,,
26,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-05-18,20,False,2019,5.0,2.0,,
27,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-05-18,20,False,2019,5.0,2.0,,
28,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-05-18,20,False,2019,5.0,2.0,,
29,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-05-18,20,False,2019,5.0,2.0,,
30,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-05-18,20,False,2019,5.0,2.0,,
31,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-05-18,20,False,2019,5.0,2.0,,
32,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-05-18,20,False,2019,5.0,2.0,,
33,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-06-17,25,True,2019,5.0,2.0,,
34,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-06-19,25,True,2019,5.0,2.0,,
35,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-06-24,26,True,2019,5.0,2.0,,
36,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-07-24,30,True,2019,5.0,2.0,,
37,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-07-24,30,True,2019,5.0,2.0,,
38,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-07-24,30,True,2019,5.0,2.0,,
39,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-07-24,30,True,2019,5.0,2.0,,
40,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-07-24,30,True,2019,5.0,2.0,,
41,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-07-24,30,True,2019,5.0,2.0,,
42,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-07-24,30,True,2019,5.0,2.0,,
43,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-08-20,34,True,2019,5.0,2.0,,
44,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-08-20,34,True,2019,5.0,2.0,,
45,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-09-20,38,True,2019,5.0,2.0,,
46,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-09-23,39,True,2019,5.0,2.0,,
47,DLRI,I16200040,CPUI用細菌過濾器,1.0,2019-10-15,42,True,2019,5.0,2.0,,
