,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLRI,K82430329,痰盒-綠蓋,1.0,2019-01-01,1,False,2019,3.0,3.0,,
1,DLRI,K82430329,痰盒-綠蓋,1.0,2019-01-06,1,False,2019,3.0,3.0,,
2,DLRI,K82430329,痰盒-綠蓋,1.0,2019-01-13,2,False,2019,5.0,2.0,,
3,DLRI,K82430329,痰盒-綠蓋,1.0,2019-02-10,6,False,2019,0.0,7.0,,
4,DLRI,K82430329,痰盒-綠蓋,1.0,2019-03-05,10,True,2019,5.0,2.0,,
5,DLRI,K82430329,痰盒-綠蓋,1.0,2019-06-03,23,True,2019,4.0,3.0,,
6,DLRI,K82430329,痰盒-綠蓋,1.0,2019-06-26,26,True,2019,5.0,2.0,,
7,DLRI,K82430329,痰盒-綠蓋,1.0,2019-06-29,26,False,2019,5.0,2.0,,
8,DLRI,K82430329,痰盒-綠蓋,1.0,2019-07-19,29,True,2019,5.0,2.0,,
9,DLRI,K82430329,痰盒-綠蓋,1.0,2019-07-30,31,True,2019,5.0,2.0,,
10,DLRI,K82430329,痰盒-綠蓋,1.0,2019-08-02,31,True,2019,5.0,2.0,,
11,DLRI,K82430329,痰盒-綠蓋,1.0,2019-08-02,31,True,2019,5.0,2.0,,
12,DLRI,K82430329,痰盒-綠蓋,1.0,2019-08-07,32,True,2019,5.0,2.0,,
13,DLRI,K82430329,痰盒-綠蓋,1.0,2019-08-11,32,False,2019,5.0,2.0,,
14,DLRI,K82430329,痰盒-綠蓋,1.0,2019-08-12,33,True,2019,5.0,2.0,,
15,DLRI,K82430329,痰盒-綠蓋,1.0,2019-08-12,33,True,2019,5.0,2.0,,
16,DLRI,K82430329,痰盒-綠蓋,1.0,2019-08-25,34,False,2019,5.0,2.0,,
17,DLRI,K82430329,痰盒-綠蓋,1.0,2019-08-31,35,False,2019,5.0,2.0,,
18,DLRI,K82430329,痰盒-綠蓋,1.0,2019-09-07,36,False,2019,4.0,3.0,,
19,DLRI,K82430329,痰盒-綠蓋,1.0,2019-10-06,40,False,2019,5.0,2.0,,
20,DLRI,K82430329,痰盒-綠蓋,1.0,2019-10-13,41,False,2019,3.0,4.0,,
21,DLRI,K82430329,痰盒-綠蓋,1.0,2019-10-21,43,True,2019,5.0,2.0,,
22,DLRI,K82430329,痰盒-綠蓋,1.0,2019-10-21,43,True,2019,5.0,2.0,,
23,DLRI,K82430329,痰盒-綠蓋,1.0,2019-11-05,45,True,2019,5.0,2.0,,
24,DLRI,K82430329,痰盒-綠蓋,1.0,2019-11-14,46,True,2019,5.0,2.0,,
25,DLRI,K82430329,痰盒-綠蓋,1.0,2019-11-14,46,True,2019,5.0,2.0,,
26,DLRI,K82430329,痰盒-綠蓋,1.0,2019-11-19,47,True,2019,5.0,2.0,,
27,DLRI,K82430329,痰盒-綠蓋,1.0,2019-11-20,47,True,2019,5.0,2.0,,
28,DLRI,K82430329,痰盒-綠蓋,1.0,2019-12-02,49,True,2019,5.0,2.0,,
29,DLRI,K82430329,痰盒-綠蓋,1.0,2019-12-02,49,True,2019,5.0,2.0,,
30,DLRI,K82430329,痰盒-綠蓋,1.0,2019-12-03,49,True,2019,5.0,2.0,,
31,DLRI,K82430329,痰盒-綠蓋,1.0,2020-01-01,1,False,2020,2.0,3.0,,
32,DLRI,K82430329,痰盒-綠蓋,1.0,2020-01-06,2,True,2020,5.0,2.0,,
33,DLRI,K82430329,痰盒-綠蓋,1.0,2020-01-10,2,True,2020,5.0,2.0,,
34,DLRI,K82430329,痰盒-綠蓋,1.0,2020-01-12,2,False,2020,5.0,2.0,,
35,DLRI,K82430329,痰盒-綠蓋,1.0,2020-01-17,3,True,2020,5.0,2.0,,
36,DLRI,K82430329,痰盒-綠蓋,1.0,2020-01-18,3,False,2020,5.0,2.0,,
37,DLRI,K82430329,痰盒-綠蓋,1.0,2020-01-20,4,True,2020,3.0,4.0,,
38,DLRI,K82430329,痰盒-綠蓋,1.0,2020-02-18,8,True,2020,5.0,2.0,,
39,DLRI,K82430329,痰盒-綠蓋,1.0,2020-02-19,8,True,2020,5.0,2.0,,
40,DLRI,K82430329,痰盒-綠蓋,1.0,2020-04-03,14,True,2020,3.0,4.0,,
41,DLRI,K82430329,痰盒-綠蓋,1.0,2020-04-06,15,False,2020,5.0,2.0,,
42,DLRI,K82430329,痰盒-綠蓋,1.0,2020-04-12,15,False,2020,5.0,2.0,,
43,DLRI,K82430329,痰盒-綠蓋,1.0,2020-04-22,17,True,2020,5.0,2.0,,
44,DLRI,K82430329,痰盒-綠蓋,1.0,2020-04-25,17,False,2020,5.0,2.0,,
45,DLRI,K82430329,痰盒-綠蓋,1.0,2020-04-28,18,True,2020,4.0,3.0,,
46,DLRI,K82430329,痰盒-綠蓋,1.0,2020-05-01,18,False,2020,4.0,3.0,,
47,DLRI,K82430329,痰盒-綠蓋,1.0,2020-05-07,19,True,2020,5.0,2.0,,
48,DLRI,K82430329,痰盒-綠蓋,1.0,2020-05-19,21,True,2020,5.0,2.0,,
49,DLRI,K82430329,痰盒-綠蓋,1.0,2020-05-19,21,True,2020,5.0,2.0,,
50,DLRI,K82430329,痰盒-綠蓋,1.0,2020-05-27,22,True,2020,5.0,2.0,,
51,DLRI,K82430329,痰盒-綠蓋,1.0,2020-06-02,23,True,2020,5.0,2.0,,
52,DLRI,K82430329,痰盒-綠蓋,1.0,2020-06-26,26,False,2020,3.0,4.0,,
53,DLRI,K82430329,痰盒-綠蓋,1.0,2020-07-01,27,True,2020,5.0,2.0,,
54,DLRI,K82430329,痰盒-綠蓋,1.0,2020-07-09,28,True,2020,5.0,2.0,,
55,DLRI,K82430329,痰盒-綠蓋,1.0,2020-07-23,30,True,2020,5.0,2.0,,
56,DLRI,K82430329,痰盒-綠蓋,1.0,2020-09-23,39,True,2020,5.0,2.0,,
57,DLRI,K82430329,痰盒-綠蓋,1.0,2020-10-24,43,False,2020,5.0,2.0,,
58,DLRI,K82430329,痰盒-綠蓋,1.0,2020-10-27,44,True,2020,5.0,2.0,,
59,DLRI,K82430329,痰盒-綠蓋,1.0,2020-11-19,47,True,2020,5.0,2.0,,
60,DLRI,K82430329,痰盒-綠蓋,2.0,2020-11-22,47,False,2020,5.0,2.0,,
61,DLRI,K82430329,痰盒-綠蓋,1.0,2020-11-25,48,True,2020,5.0,2.0,,
62,DLRI,K82430329,痰盒-綠蓋,1.0,2020-12-05,49,False,2020,5.0,2.0,,
63,DLRI,K82430329,痰盒-綠蓋,1.0,2020-12-11,50,True,2020,5.0,2.0,,
64,DLRI,K82430329,痰盒-綠蓋,1.0,2020-12-18,51,True,2020,5.0,2.0,,
65,DLRI,K82430329,痰盒-綠蓋,1.0,2020-12-18,51,True,2020,5.0,2.0,,
66,DLRI,K82430329,痰盒-綠蓋,1.0,2021-02-05,5,True,2021,5.0,2.0,,
67,DLRI,K82430329,痰盒-綠蓋,1.0,2021-02-06,5,False,2021,5.0,2.0,,
68,DLRI,K82430329,痰盒-綠蓋,1.0,2021-02-16,7,False,2021,3.0,4.0,,
69,DLRI,K82430329,痰盒-綠蓋,1.0,2021-03-16,11,True,2021,5.0,2.0,,
70,DLRI,K82430329,痰盒-綠蓋,1.0,2021-03-17,11,True,2021,5.0,2.0,,
71,DLRI,K82430329,痰盒-綠蓋,1.0,2021-04-08,14,True,2021,4.0,3.0,,
72,DLRI,K82430329,痰盒-綠蓋,1.0,2021-04-14,15,True,2021,5.0,2.0,,
73,DLRI,K82430329,痰盒-綠蓋,1.0,2021-04-15,15,True,2021,5.0,2.0,,
74,DLRI,K82430329,痰盒-綠蓋,1.0,2021-04-17,15,False,2021,5.0,2.0,,
75,DLRI,K82430329,痰盒-綠蓋,1.0,2021-04-22,16,True,2021,5.0,2.0,,
