,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLRI,T50412005,Edith,1.0,2019-01-01,1,False,2019,3.0,3.0,,
1,DLRI,T50412005,Edith,1.0,2019-01-02,1,True,2019,3.0,3.0,,
2,DLRI,T50412005,Edith,1.0,2019-01-02,1,True,2019,3.0,3.0,,
3,DLRI,T50412005,Edith,1.0,2019-01-02,1,True,2019,3.0,3.0,,
4,DLRI,T50412005,Edith,1.0,2019-01-02,1,True,2019,3.0,3.0,,
5,DLRI,T50412005,Edith,1.0,2019-01-04,1,True,2019,3.0,3.0,,
6,DLRI,T50412005,Edith,1.0,2019-01-04,1,True,2019,3.0,3.0,,
7,DLRI,T50412005,Edith,1.0,2019-01-04,1,True,2019,3.0,3.0,,
8,DLRI,T50412005,Edith,1.0,2019-01-04,1,True,2019,3.0,3.0,,
9,DLRI,T50412005,Edith,1.0,2019-01-04,1,True,2019,3.0,3.0,,
10,DLRI,T50412005,Edith,1.0,2019-01-04,1,True,2019,3.0,3.0,,
11,DLRI,T50412005,Edith,1.0,2019-01-04,1,True,2019,3.0,3.0,,
12,DLRI,T50412005,Edith,1.0,2019-01-06,1,False,2019,3.0,3.0,,
13,DLRI,T50412005,Edith,1.0,2019-12-30,1,True,2019,3.0,3.0,,
14,DLRI,T50412005,Edith,1.0,2019-01-07,2,True,2019,5.0,2.0,,
15,DLRI,T50412005,Edith,1.0,2019-01-07,2,True,2019,5.0,2.0,,
16,DLRI,T50412005,Edith,1.0,2019-01-07,2,True,2019,5.0,2.0,,
17,DLRI,T50412005,Edith,1.0,2019-01-07,2,True,2019,5.0,2.0,,
18,DLRI,T50412005,Edith,1.0,2019-01-08,2,True,2019,5.0,2.0,,
19,DLRI,T50412005,Edith,1.0,2019-01-09,2,True,2019,5.0,2.0,,
20,DLRI,T50412005,Edith,1.0,2019-01-09,2,True,2019,5.0,2.0,,
21,DLRI,T50412005,Edith,1.0,2019-01-09,2,True,2019,5.0,2.0,,
22,DLRI,T50412005,Edith,1.0,2019-01-09,2,True,2019,5.0,2.0,,
23,DLRI,T50412005,Edith,1.0,2019-01-09,2,True,2019,5.0,2.0,,
24,DLRI,T50412005,Edith,1.0,2019-01-11,2,True,2019,5.0,2.0,,
25,DLRI,T50412005,Edith,1.0,2019-01-11,2,True,2019,5.0,2.0,,
26,DLRI,T50412005,Edith,1.0,2019-01-11,2,True,2019,5.0,2.0,,
27,DLRI,T50412005,Edith,1.0,2019-01-11,2,True,2019,5.0,2.0,,
28,DLRI,T50412005,Edith,1.0,2019-01-11,2,True,2019,5.0,2.0,,
29,DLRI,T50412005,Edith,1.0,2019-01-12,2,False,2019,5.0,2.0,,
30,DLRI,T50412005,Edith,1.0,2019-01-12,2,False,2019,5.0,2.0,,
31,DLRI,T50412005,Edith,1.0,2019-01-13,2,False,2019,5.0,2.0,,
32,DLRI,T50412005,Edith,1.0,2019-01-13,2,False,2019,5.0,2.0,,
33,DLRI,T50412005,Edith,1.0,2019-01-13,2,False,2019,5.0,2.0,,
34,DLRI,T50412005,Edith,1.0,2019-01-13,2,False,2019,5.0,2.0,,
