,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-03,1,True,2019,3.0,3.0,,
1,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-04,1,True,2019,3.0,3.0,,
2,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-05,1,False,2019,3.0,3.0,,
3,DLRI,U91700000,丟棄式導尿包,1.0,2019-12-30,1,True,2019,3.0,3.0,,
4,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-09,2,True,2019,5.0,2.0,,
5,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-10,2,True,2019,5.0,2.0,,
6,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-10,2,True,2019,5.0,2.0,,
7,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-16,3,True,2019,5.0,2.0,,
8,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-18,3,True,2019,5.0,2.0,,
9,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-18,3,True,2019,5.0,2.0,,
10,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-21,4,True,2019,5.0,2.0,,
11,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-24,4,True,2019,5.0,2.0,,
12,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-28,5,True,2019,5.0,2.0,,
13,DLRI,U91700000,丟棄式導尿包,1.0,2019-01-30,5,True,2019,5.0,2.0,,
14,DLRI,U91700000,丟棄式導尿包,1.0,2019-02-04,6,False,2019,0.0,7.0,,
15,DLRI,U91700000,丟棄式導尿包,1.0,2019-02-04,6,False,2019,0.0,7.0,,
16,DLRI,U91700000,丟棄式導尿包,1.0,2019-02-05,6,False,2019,0.0,7.0,,
17,DLRI,U91700000,丟棄式導尿包,1.0,2019-02-11,7,True,2019,5.0,2.0,,
18,DLRI,U91700000,丟棄式導尿包,1.0,2019-02-11,7,True,2019,5.0,2.0,,
19,DLRI,U91700000,丟棄式導尿包,1.0,2019-02-11,7,True,2019,5.0,2.0,,
20,DLRI,U91700000,丟棄式導尿包,1.0,2019-02-13,7,True,2019,5.0,2.0,,
21,DLRI,U91700000,丟棄式導尿包,1.0,2019-02-16,7,False,2019,5.0,2.0,,
22,DLRI,U91700000,丟棄式導尿包,1.0,2019-02-18,8,True,2019,5.0,2.0,,
23,DLRI,U91700000,丟棄式導尿包,1.0,2019-02-18,8,True,2019,5.0,2.0,,
24,DLRI,U91700000,丟棄式導尿包,1.0,2019-02-18,8,True,2019,5.0,2.0,,
