,庫房,料號,品名,數量,帳務日期,週,工作日,年,工作天數,休假天數,日期,計價
0,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-03,1,True,2019,3.0,3.0,,
1,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-03,1,True,2019,3.0,3.0,,
2,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-12-30,1,True,2019,3.0,3.0,,
3,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-12-30,1,True,2019,3.0,3.0,,
4,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-12-30,1,True,2019,3.0,3.0,,
5,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-12-30,1,True,2019,3.0,3.0,,
6,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-07,2,True,2019,5.0,2.0,,
7,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-08,2,True,2019,5.0,2.0,,
8,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-09,2,True,2019,5.0,2.0,,
9,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-10,2,True,2019,5.0,2.0,,
10,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-10,2,True,2019,5.0,2.0,,
11,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-11,2,True,2019,5.0,2.0,,
12,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-14,3,True,2019,5.0,2.0,,
13,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-21,4,True,2019,5.0,2.0,,
14,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-23,4,True,2019,5.0,2.0,,
15,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-26,4,False,2019,5.0,2.0,,
16,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-31,5,True,2019,5.0,2.0,,
17,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-01-31,5,True,2019,5.0,2.0,,
18,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-08,6,False,2019,0.0,7.0,,
19,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-08,6,False,2019,0.0,7.0,,
20,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-08,6,False,2019,0.0,7.0,,
21,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-08,6,False,2019,0.0,7.0,,
22,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-08,6,False,2019,0.0,7.0,,
23,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-08,6,False,2019,0.0,7.0,,
24,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-08,6,False,2019,0.0,7.0,,
25,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-11,7,True,2019,5.0,2.0,,
26,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-11,7,True,2019,5.0,2.0,,
27,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-14,7,True,2019,5.0,2.0,,
28,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-14,7,True,2019,5.0,2.0,,
29,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-14,7,True,2019,5.0,2.0,,
30,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-14,7,True,2019,5.0,2.0,,
31,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-18,8,True,2019,5.0,2.0,,
32,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-25,9,True,2019,3.0,4.0,,
33,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-25,9,True,2019,3.0,4.0,,
34,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-25,9,True,2019,3.0,4.0,,
35,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-02-25,9,True,2019,3.0,4.0,,
36,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-08,10,True,2019,5.0,2.0,,
37,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-08,10,True,2019,5.0,2.0,,
38,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-08,10,True,2019,5.0,2.0,,
39,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-08,10,True,2019,5.0,2.0,,
40,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-08,10,True,2019,5.0,2.0,,
41,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-08,10,True,2019,5.0,2.0,,
42,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-11,11,True,2019,5.0,2.0,,
43,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-13,11,True,2019,5.0,2.0,,
44,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-14,11,True,2019,5.0,2.0,,
45,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-14,11,True,2019,5.0,2.0,,
46,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-14,11,True,2019,5.0,2.0,,
47,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-22,12,True,2019,5.0,2.0,,
48,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-25,13,True,2019,5.0,2.0,,
49,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-03-29,13,True,2019,5.0,2.0,,
50,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-04-01,14,True,2019,3.0,4.0,,
51,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-04-25,17,True,2019,5.0,2.0,,
52,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-05-01,18,False,2019,4.0,3.0,,
53,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-05-08,19,True,2019,5.0,2.0,,
54,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-05-08,19,True,2019,5.0,2.0,,
55,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-05-08,19,True,2019,5.0,2.0,,
56,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-05-08,19,True,2019,5.0,2.0,,
57,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-05-08,19,True,2019,5.0,2.0,,
58,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-05-15,20,True,2019,5.0,2.0,,
59,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-05-15,20,True,2019,5.0,2.0,,
60,DLRI,V00400273,潤滑凍膏 2.7-3GM(滅菌),1.0,2019-05-27,22,True,2019,5.0,2.0,,
