,庫房,料號,品名,數量,帳務日期,週,工作日,年
0,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/1,1,FALSE,2019
1,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/1,1,FALSE,2019
2,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/1,1,FALSE,2019
3,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/2,1,TRUE,2019
4,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/2,1,TRUE,2019
5,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/3,1,TRUE,2019
6,DLN5,B00206057,彈性繃帶-非滅菌,3,2019/1/4,1,TRUE,2019
7,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/5,1,FALSE,2019
8,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/5,1,FALSE,2019
9,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/5,1,FALSE,2019
10,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/1/6,1,FALSE,2019
11,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/1/6,1,FALSE,2019
12,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/12/30,1,TRUE,2019
13,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/12/30,1,TRUE,2019
14,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/12/31,1,TRUE,2019
15,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/1/7,2,TRUE,2019
16,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/7,2,TRUE,2019
17,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/7,2,TRUE,2019
18,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/1/7,2,TRUE,2019
19,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/8,2,TRUE,2019
20,DLN5,B00206057,彈性繃帶-非滅菌,3,2019/1/8,2,TRUE,2019
21,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/10,2,TRUE,2019
22,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/10,2,TRUE,2019
23,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/1/10,2,TRUE,2019
24,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/12,2,FALSE,2019
25,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/12,2,FALSE,2019
26,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/12,2,FALSE,2019
27,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/12,2,FALSE,2019
28,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/1/13,2,FALSE,2019
29,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/13,2,FALSE,2019
30,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/14,3,TRUE,2019
31,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/14,3,TRUE,2019
32,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/15,3,TRUE,2019
33,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/16,3,TRUE,2019
34,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/20,3,FALSE,2019
35,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/21,4,TRUE,2019
36,DLN5,B00206057,彈性繃帶-非滅菌,3,2019/1/21,4,TRUE,2019
37,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/1/22,4,TRUE,2019
38,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/24,4,TRUE,2019
39,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/24,4,TRUE,2019
40,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/24,4,TRUE,2019
41,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/25,4,TRUE,2019
42,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/25,4,TRUE,2019
43,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/26,4,FALSE,2019
44,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/26,4,FALSE,2019
45,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/26,4,FALSE,2019
46,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/27,4,FALSE,2019
47,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/27,4,FALSE,2019
48,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/1/28,5,TRUE,2019
49,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/30,5,TRUE,2019
50,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/1/31,5,TRUE,2019
51,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/2,5,TRUE,2019
52,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/2/2,5,TRUE,2019
53,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/2/3,5,TRUE,2019
54,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/3,5,TRUE,2019
55,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/3,5,TRUE,2019
56,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/4,6,FALSE,2019
57,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/4,6,FALSE,2019
58,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/5,6,FALSE,2019
59,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/2/9,6,FALSE,2019
60,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/12,7,TRUE,2019
61,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/15,7,TRUE,2019
62,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/16,7,FALSE,2019
63,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/2/17,7,FALSE,2019
64,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/18,8,TRUE,2019
65,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/23,8,FALSE,2019
66,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/23,8,FALSE,2019
67,DLN5,B00206057,彈性繃帶-非滅菌,3,2019/2/24,8,FALSE,2019
68,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/2/25,9,TRUE,2019
69,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/2/25,9,TRUE,2019
70,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/2/26,9,TRUE,2019
71,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/26,9,TRUE,2019
72,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/2/27,9,TRUE,2019
73,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/28,9,TRUE,2019
74,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/2/28,9,TRUE,2019
75,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/2,9,FALSE,2019
76,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/2,9,FALSE,2019
77,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/3,9,FALSE,2019
78,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/3/3,9,FALSE,2019
79,DLN5,B00206057,彈性繃帶-非滅菌,0,2019/3/6,10,TRUE,2019
80,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/3/6,10,TRUE,2019
81,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/3/6,10,TRUE,2019
82,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/7,10,TRUE,2019
83,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/3/7,10,TRUE,2019
84,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/7,10,TRUE,2019
85,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/7,10,TRUE,2019
86,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/8,10,TRUE,2019
87,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/9,10,FALSE,2019
88,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/10,10,FALSE,2019
89,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/3/11,11,TRUE,2019
90,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/3/13,11,TRUE,2019
91,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/3/13,11,TRUE,2019
92,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/14,11,TRUE,2019
93,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/3/14,11,TRUE,2019
94,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/14,11,TRUE,2019
95,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/14,11,TRUE,2019
96,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/14,11,TRUE,2019
97,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/14,11,TRUE,2019
98,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/15,11,TRUE,2019
99,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/15,11,TRUE,2019
100,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/15,11,TRUE,2019
101,DLN5,B00206057,彈性繃帶-非滅菌,2,2019/3/16,11,FALSE,2019
102,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/16,11,FALSE,2019
103,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/16,11,FALSE,2019
104,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/16,11,FALSE,2019
105,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/17,11,FALSE,2019
106,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/17,11,FALSE,2019
107,DLN5,B00206057,彈性繃帶-非滅菌,1,2019/3/19,12,TRUE,2019
