,日期,病人數量
0,2020-01-01,26.0
1,2020-01-02,29.0
2,2020-01-03,28.0
3,2020-01-04,24.0
4,2020-01-05,26.0
5,2020-01-06,31.0
6,2020-01-07,35.0
7,2020-01-08,33.0
8,2020-01-09,25.0
9,2020-01-10,22.0
10,2020-01-11,20.0
11,2020-01-12,21.0
12,2020-01-13,26.0
13,2020-01-14,28.0
14,2020-01-15,26.0
15,2020-01-16,26.0
16,2020-01-17,25.0
17,2020-01-18,25.0
18,2020-01-19,20.0
19,2020-01-20,24.0
20,2020-01-21,20.0
21,2020-01-22,16.0
22,2020-01-23,1.0
23,2020-01-24,0.0
24,2020-01-25,0.0
25,2020-01-26,1.0
26,2020-01-27,0.0
27,2020-01-28,0.0
28,2020-01-29,0.0
29,2020-01-30,12.0
30,2020-01-31,14.0
31,2020-02-01,12.0
32,2020-02-02,14.0
33,2020-02-03,25.0
34,2020-02-04,30.0
35,2020-02-05,33.0
36,2020-02-06,37.0
37,2020-02-07,40.0
38,2020-02-08,35.0
39,2020-02-09,36.0
40,2020-02-10,37.0
41,2020-02-11,38.0
42,2020-02-12,41.0
43,2020-02-13,43.0
44,2020-02-14,37.0
45,2020-02-15,28.0
46,2020-02-16,27.0
47,2020-02-17,32.0
48,2020-02-18,34.0
49,2020-02-19,30.0
50,2020-02-20,35.0
51,2020-02-21,35.0
52,2020-02-22,32.0
53,2020-02-23,26.0
54,2020-02-24,33.0
55,2020-02-25,31.0
56,2020-02-26,33.0
57,2020-02-27,29.0
58,2020-02-28,27.0
59,2020-02-29,25.0
60,2020-03-01,22.0
61,2020-03-02,26.0
62,2020-03-03,29.0
63,2020-03-04,32.0
64,2020-03-05,35.0
65,2020-03-06,35.0
66,2020-03-07,26.0
67,2020-03-08,28.0
68,2020-03-09,33.0
69,2020-03-10,31.0
70,2020-03-11,32.0
71,2020-03-12,36.0
72,2020-03-13,35.0
73,2020-03-14,27.0
74,2020-03-15,29.0
75,2020-03-16,31.0
76,2020-03-17,33.0
77,2020-03-18,35.0
78,2020-03-19,33.0
79,2020-03-20,39.0
80,2020-03-21,42.0
81,2020-03-22,44.0
82,2020-03-23,43.0
83,2020-03-24,43.0
84,2020-03-25,39.0
85,2020-03-26,42.0
86,2020-03-27,43.0
87,2020-03-28,38.0
88,2020-03-29,40.0
89,2020-03-30,43.0
90,2020-03-31,44.0
91,2020-04-01,45.0
92,2020-04-02,43.0
93,2020-04-03,34.0
94,2020-04-04,26.0
95,2020-04-05,29.0
96,2020-04-06,39.0
97,2020-04-07,40.0
98,2020-04-08,41.0
99,2020-04-09,41.0
100,2020-04-10,40.0
101,2020-04-11,40.0
102,2020-04-12,39.0
103,2020-04-13,43.0
104,2020-04-14,41.0
105,2020-04-15,41.0
106,2020-04-16,41.0
107,2020-04-17,41.0
108,2020-04-18,39.0
109,2020-04-19,36.0
110,2020-04-20,41.0
111,2020-04-21,47.0
112,2020-04-22,44.0
113,2020-04-23,42.0
114,2020-04-24,41.0
115,2020-04-25,40.0
