,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-14,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,3,,,,,,,,,,,,
1,2019-01-21,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,20.0,20.0,0.0,4,,,,,,,,,,,,
2,2019-02-11,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,7,,,,,,,,,,,,
3,2019-02-25,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,20.0,20.0,0.0,9,,,,,,,,,,,,
4,2019-03-25,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,13,,,,,,,,,,,,
5,2019-04-08,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,20.0,20.0,0.0,15,,,,,,,,,,,,
6,2019-04-22,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,17,,,,,,,,,,,,
7,2019-05-27,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,20.0,20.0,0.0,22,,,,,,,,,,,,
8,2019-06-17,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,20.0,20.0,0.0,25,,,,,,,,,,,,
9,2019-06-24,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,26,,,,,,,,,,,,
10,2019-07-01,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,27,,,,,,,,,,,,
11,2019-09-02,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,36,,,,,,,,,,,,
12,2019-09-30,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,40,,,,,,,,,,,,
13,2019-10-21,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,43,,,,,,,,,,,,
14,2019-12-16,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,51,,,,,,,,,,,,
15,2019-12-30,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,1,,,,,,,,,,,,
0,2020-01-20,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,4,,,,,,,,,,,,
1,2020-02-10,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,7,,,,,,,,,,,,
2,2020-03-16,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,12,,,,,,,,,,,,
3,2020-04-06,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,15,,,,,,,,,,,,
4,2020-05-18,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,21,,,,,,,,,,,,
5,2020-06-29,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,27,,,,,,,,,,,,
6,2020-07-20,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,30,,,,,,,,,,,,
7,2020-08-10,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,33,,,,,,,,,,,,
8,2020-08-19,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,34,,,,,,,,,,,,
9,2020-08-24,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,35,,,,,,,,,,,,
10,2020-08-31,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,36,,,,,,,,,,,,
11,2020-10-12,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,42,,,,,,,,,,,,
12,2020-10-24,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,43,,,,,,,,,,,,
13,2020-11-09,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,46,,,,,,,,,,,,
14,2020-11-23,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,48,,,,,,,,,,,,
15,2020-12-07,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,50,,,,,,,,,,,,
16,2020-12-28,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,53,,,,,,,,,,,,
