,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-02-25,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,9,,,,,,,,,,,,
1,2019-05-27,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,22,,,,,,,,,,,,
2,2019-08-05,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,32,,,,,,,,,,,,
3,2019-09-02,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,36,,,,,,,,,,,,
4,2019-12-09,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,50,,,,,,,,,,,,
0,2020-01-13,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,3,,,,,,,,,,,,
1,2020-03-23,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,13,,,,,,,,,,,,
2,2020-04-06,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,15,,,,,,,,,,,,
3,2020-05-25,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,22,,,,,,,,,,,,
4,2020-07-20,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,30,,,,,,,,,,,,
5,2020-08-31,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,36,,,,,,,,,,,,
6,2020-09-21,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,39,,,,,,,,,,,,
7,2020-12-07,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,50,,,,,,,,,,,,
8,2020-12-21,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,52,,,,,,,,,,,,
0,2021-01-25,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,4,,,,,,,,,,,,
1,2021-03-08,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,10,,,,,,,,,,,,
2,2021-03-22,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,12,,,,,,,,,,,,
3,2021-12-13,B07202101,ENT棉棒,10支/包,包,T,10.0,0.0,0.0,10.0,10.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
