,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-14,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,1.0,1.0,0.0,3,,,,,,,,,,,,
1,2019-03-04,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,1.0,1.0,0.0,10,,,,,,,,,,,,
2,2019-04-15,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,3.0,3.0,0.0,16,,,,,,,,,,,,
3,2019-05-27,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,1.0,1.0,0.0,22,,,,,,,,,,,,
4,2019-06-24,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,1.0,1.0,0.0,26,,,,,,,,,,,,
5,2019-07-22,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,4.0,4.0,0.0,30,,,,,,,,,,,,
6,2019-07-28,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,-2.0,-2.0,0.0,30,,,,,,,,,,,,
7,2019-08-26,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,5.0,5.0,0.0,35,,,,,,,,,,,,
0,2020-02-03,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,3.0,3.0,0.0,6,,,,,,,,,,,,
1,2020-02-22,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,2.0,2.0,0.0,8,,,,,,,,,,,,
2,2020-04-06,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,2.0,2.0,0.0,15,,,,,,,,,,,,
3,2020-05-25,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,3.0,3.0,0.0,22,,,,,,,,,,,,
4,2020-09-14,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,3.0,3.0,0.0,38,,,,,,,,,,,,
5,2020-10-19,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,5.0,5.0,0.0,43,,,,,,,,,,,,
6,2020-12-28,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,6.0,6.0,0.0,53,,,,,,,,,,,,
0,2021-01-11,K82430329,痰盒-綠蓋,40-60ML單一無菌包裝/不外漏,個,T,50.0,0.0,0.0,3.0,3.0,0.0,2,,,,,,,,,,,,
