,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-28,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,5,,,,,,,,,,,,
1,2019-06-17,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,25,,,,,,,,,,,,
2,2019-07-04,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,27,,,,,,,,,,,,
3,2019-09-02,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,36,,,,,,,,,,,,
4,2019-10-21,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,43,,,,,,,,,,,,
0,2020-05-25,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,22,,,,,,,,,,,,
1,2020-08-03,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,32,,,,,,,,,,,,
2,2020-08-24,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,35,,,,,,,,,,,,
3,2020-10-05,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,41,,,,,,,,,,,,
4,2020-10-19,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,43,,,,,,,,,,,,
5,2020-10-26,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,44,,,,,,,,,,,,
6,2020-11-02,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,45,,,,,,,,,,,,
0,2021-01-25,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,4,,,,,,,,,,,,
1,2021-01-28,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,2.0,2.0,0.0,4,,,,,,,,,,,,
2,2021-04-26,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,17,,,,,,,,,,,,
3,2021-05-03,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,18,,,,,,,,,,,,
4,2021-07-05,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,27,,,,,,,,,,,,
5,2021-11-01,K82600612,張氏糞便收集器,800個/箱,個,T,1.0,0.0,0.0,1.0,1.0,0.0,44,,,,,,,,,,,,
