,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2019-01-28,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,5,,,,,,,,,,,,
1,2019-06-24,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,26,,,,,,,,,,,,
2,2019-07-04,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,100.0,100.0,0.0,27,,,,,,,,,,,,
3,2019-10-21,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,43,,,,,,,,,,,,
4,2019-10-27,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,-50.0,-50.0,0.0,43,,,,,,,,,,,,
5,2019-12-09,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,50,,,,,,,,,,,,
0,2020-01-20,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,4,,,,,,,,,,,,
1,2020-02-03,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,6,,,,,,,,,,,,
2,2020-02-24,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,9,,,,,,,,,,,,
3,2020-03-02,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,10,,,,,,,,,,,,
4,2020-04-27,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,18,,,,,,,,,,,,
5,2020-08-10,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,33,,,,,,,,,,,,
6,2020-08-24,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,35,,,,,,,,,,,,
7,2020-09-14,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,38,,,,,,,,,,,,
8,2020-09-21,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,39,,,,,,,,,,,,
9,2020-09-28,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,40,,,,,,,,,,,,
0,2021-01-25,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,4,,,,,,,,,,,,
1,2021-06-07,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-08-23,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
