,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-11-12,B00106107,紗布繃帶,15cmx9M(6〞x10YD),卷,T,3.0,0.0,0.0,3.0,3.0,0.0,,46
1,2019-11-19,B00106107,紗布繃帶,15cmx9M(6〞x10YD),卷,T,3.0,0.0,0.0,3.0,3.0,0.0,,47
2,2019-11-24,B00106107,紗布繃帶,15cmx9M(6〞x10YD),卷,T,3.0,0.0,0.0,-3.0,-3.0,0.0,,47
3,2019-12-31,B00106107,紗布繃帶,15cmx9M(6〞x10YD),卷,T,3.0,0.0,0.0,3.0,3.0,0.0,,1
0,2020-02-04,B00106107,紗布繃帶,15cmx9M(6〞x10YD),卷,T,3.0,0.0,0.0,3.0,3.0,0.0,,6
1,2020-04-14,B00106107,紗布繃帶,15cmx9M(6〞x10YD),卷,T,3.0,0.0,0.0,3.0,3.0,0.0,,16
2,2020-05-19,B00106107,紗布繃帶,15cmx9M(6〞x10YD),卷,T,3.0,0.0,0.0,3.0,3.0,0.0,,21
3,2020-06-24,B00106107,紗布繃帶,15cmx9M(6〞x10YD),卷,T,3.0,0.0,0.0,3.0,3.0,0.0,,26
4,2020-09-08,B00106107,紗布繃帶,15cmx9M(6〞x10YD),卷,T,3.0,0.0,0.0,3.0,3.0,0.0,,37
5,2020-12-29,B00106107,紗布繃帶,15cmx9M(6〞x10YD),卷,T,3.0,0.0,0.0,3.0,3.0,0.0,,53
0,2021-02-23,B00106107,紗布繃帶,15cmx9M(6〞x10YD),卷,T,3.0,0.0,0.0,3.0,3.0,0.0,,8
1,2021-03-30,B00106107,紗布繃帶,15cmx9M(6〞x10YD),卷,T,3.0,0.0,0.0,3.0,3.0,0.0,,13
