,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-08,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,2
1,2019-01-15,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,2.0,2.0,0.0,,3
2,2019-01-29,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,2.0,2.0,0.0,,5
3,2019-04-16,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,16
4,2019-06-11,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,24
5,2019-08-20,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,34
6,2019-09-10,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,0.0,37
7,2019-10-09,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,41
8,2019-11-12,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,46
9,2019-11-24,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,-1.0,-1.0,0.0,,47
10,2019-12-31,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,2.0,2.0,0.0,,1
0,2020-02-25,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,9
1,2020-03-10,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,2.0,2.0,0.0,,11
2,2020-03-24,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,13
3,2020-04-07,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,15
4,2020-04-21,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,17
5,2020-04-28,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,18
6,2020-05-12,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,20
7,2020-06-16,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,25
8,2020-06-24,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,2.0,2.0,0.0,,26
9,2020-06-30,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,2.0,2.0,0.0,,27
10,2020-07-08,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,28
11,2020-07-29,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,2.0,2.0,0.0,,31
12,2020-10-13,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,42
13,2020-10-20,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,43
14,2020-11-24,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,3.0,3.0,0.0,,48
15,2020-12-01,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,2.0,2.0,0.0,,49
0,2021-01-08,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,5.0,5.0,0.0,,1
1,2021-02-23,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,3.0,0.0,0.0,15.0,15.0,0.0,,8
