,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-15,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,20.0,20.0,0.0,,3
1,2019-01-22,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,4
2,2019-01-29,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,20.0,20.0,0.0,,5
3,2019-03-05,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,10
4,2019-03-12,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,11
5,2019-03-26,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,13
6,2019-04-09,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,20.0,20.0,0.0,,15
7,2019-04-23,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,17
8,2019-04-30,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,20.0,20.0,0.0,,18
9,2019-06-03,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,23
10,2019-07-02,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,27
11,2019-07-23,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,30
12,2019-08-27,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,25.0,25.0,0.0,,35
13,2019-09-03,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,0.0,36
14,2019-09-17,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,0.0,38
15,2019-10-01,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,40
16,2019-10-22,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,43
17,2019-11-05,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,25.0,25.0,0.0,,45
18,2019-12-10,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,50
19,2019-12-31,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,1
0,2020-01-07,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,2
1,2020-01-21,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,4
2,2020-02-18,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,8
3,2020-03-17,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,12
4,2020-03-24,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,25.0,25.0,0.0,,13
5,2020-03-31,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,20.0,20.0,0.0,,14
6,2020-04-21,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,20.0,20.0,0.0,,17
7,2020-05-05,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,15.0,15.0,0.0,,19
8,2020-05-12,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,20
9,2020-06-02,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,10.0,10.0,0.0,,23
10,2020-06-16,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,20.0,20.0,0.0,,25
11,2020-06-24,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,20.0,20.0,0.0,,26
12,2020-07-14,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,25.0,0.0,0.0,20.0,20.0,0.0,,29
