,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-08,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,3.0,3.0,0.0,,2
1,2019-01-15,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,3
2,2019-01-22,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,4
3,2019-01-29,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,5
4,2019-02-27,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,9
5,2019-03-05,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,10
6,2019-03-12,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,11
7,2019-03-19,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,12
8,2019-03-26,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,13
9,2019-04-16,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,16
10,2019-04-23,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,17
11,2019-04-30,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,18
12,2019-05-07,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,19
13,2019-05-14,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,20
14,2019-05-21,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,21
15,2019-05-28,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,22
16,2019-06-18,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,25
17,2019-06-25,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,26
18,2019-07-09,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,28
19,2019-07-16,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,29
20,2019-07-23,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,30
21,2019-07-30,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,31
22,2019-08-06,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,32
23,2019-08-13,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,33
24,2019-08-20,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,34
25,2019-08-25,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,34
26,2019-09-17,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,0.0,38
27,2019-09-24,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,0.0,39
28,2019-09-29,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,39
29,2019-10-01,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,40
30,2019-10-09,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,41
31,2019-10-15,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,42
32,2019-10-22,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,43
33,2019-11-26,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,48
34,2019-12-03,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,49
35,2019-12-10,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,50
36,2019-12-17,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,51
37,2019-12-24,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,52
38,2019-12-31,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,1
0,2020-01-07,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,2
1,2020-02-04,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,6
2,2020-02-11,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,7
3,2020-02-25,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,1.0,1.0,0.0,,9
4,2020-03-10,B00216005,網狀彈性繃帶,6# 25Y /盒  　　　　,卷,T,2.0,0.0,0.0,2.0,2.0,0.0,,11
