,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2021-04-22,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,4.0,4.0,0.0,,16
1,2021-04-26,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,,17
2,2021-04-30,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,2.0,2.0,0.0,,17
3,2021-05-05,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,2.0,2.0,0.0,,18
4,2021-05-12,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,,19
5,2021-05-14,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,,19
6,2021-05-20,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,,20
7,2021-06-16,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,,24
8,2021-06-29,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,,26
9,2021-06-30,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,,26
10,2021-07-05,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,,27
11,2021-07-14,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,2.0,2.0,0.0,,28
12,2021-07-21,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,,29
13,2021-08-12,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,8.0,8.0,0.0,,32
14,2021-09-13,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,,37
15,2021-10-04,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,,40
16,2021-10-06,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,1.0,1.0,0.0,,40
17,2021-10-12,M00030327,二級耳掛式醫療防護口罩,鬆緊帶式,盒,T,5.0,0.0,0.0,4.0,4.0,0.0,,41
