,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-02-12,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,7
1,2019-03-05,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,10
2,2019-04-02,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,14
3,2019-09-29,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,-5.0,-5.0,0.0,0.0,39
0,2020-02-11,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,7
1,2020-08-17,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,5.0,5.0,0.0,,34
2,2020-08-25,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,8.0,8.0,0.0,,35
3,2020-12-01,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,10.0,10.0,0.0,,49
0,2021-03-30,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,13
1,2021-06-10,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,5.0,5.0,0.0,,23
2,2021-06-22,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,25
3,2021-07-06,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,27
4,2021-08-05,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,1.0,0.0,0.0,1.0,1.0,0.0,,31
