,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-08,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,10.0,10.0,0.0,,2
1,2019-10-01,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,5.0,5.0,0.0,,40
2,2019-10-22,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,2.0,2.0,0.0,,43
3,2019-12-24,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,2.0,2.0,0.0,,52
0,2020-01-07,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,2.0,2.0,0.0,,2
1,2020-01-14,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,3.0,3.0,0.0,,3
2,2020-01-21,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,5.0,5.0,0.0,,4
3,2020-03-10,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,5.0,5.0,0.0,,11
4,2020-03-31,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,5.0,5.0,0.0,,14
5,2020-06-09,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,2.0,2.0,0.0,,24
6,2020-07-08,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,5.0,5.0,0.0,,28
7,2020-09-22,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,10.0,10.0,0.0,,39
0,2021-02-23,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,5.0,5.0,0.0,,8
1,2021-03-23,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,5.0,5.0,0.0,,12
2,2021-04-06,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,5.0,5.0,0.0,,14
3,2021-09-14,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,2.0,2.0,0.0,,37
4,2021-11-23,V04451006,壓舌板,10支/包，500包/箱,包,T,10.0,0.0,0.0,5.0,5.0,0.0,,47
