,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,退貨量(-),週
0,2019-01-15,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,3
1,2019-01-22,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,4
2,2019-02-12,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,7
3,2019-02-19,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,8
4,2019-02-27,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,9
5,2019-03-05,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,10
6,2019-03-12,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,11
7,2019-04-02,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,14
8,2019-04-09,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,15
9,2019-04-16,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,16
10,2019-04-30,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,18
11,2019-05-07,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,19
12,2019-05-14,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,20
13,2019-05-21,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,21
14,2019-05-28,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,22
15,2019-06-04,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,100.0,100.0,0.0,,23
16,2019-06-11,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,24
17,2019-06-18,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,25
18,2019-06-25,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,26
19,2019-07-09,B05469023,6吋棉棒,普通棉棒10支-包,包,T,150.0,0.0,0.0,50.0,50.0,0.0,,28
