,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-15,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,10.0,10.0,0.0,3
1,2019-01-22,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,10.0,10.0,0.0,4
2,2019-07-30,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,10.0,10.0,0.0,31
3,2019-08-06,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,10.0,10.0,0.0,32
4,2019-08-13,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,10.0,10.0,0.0,33
0,2020-01-07,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,,0.0,10.0,10.0,0.0,2
1,2020-07-14,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,10.0,10.0,0.0,29
2,2020-11-17,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,10.0,10.0,0.0,47
0,2021-01-19,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,10.0,10.0,0.0,3
1,2021-06-01,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,5.0,5.0,0.0,22
2,2021-08-31,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,3.0,3.0,0.0,35
3,2021-09-07,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,3.0,3.0,0.0,36
4,2021-10-05,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,6.0,6.0,0.0,40
5,2021-11-30,D00669305,3-0   尼龍線,24mm x 75cm,包,T,10.0,0.0,0.0,3.0,3.0,0.0,48
