,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-02,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,1
1,2019-01-08,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,2
2,2019-01-15,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,3
3,2019-01-22,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,4
4,2019-01-29,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,5
5,2019-02-14,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,7
6,2019-02-19,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,8
7,2019-03-05,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,10
8,2019-03-12,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,11
9,2019-03-19,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,12
10,2019-03-26,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,13
11,2019-04-02,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,14
12,2019-04-23,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,17
13,2019-04-30,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,18
14,2019-05-07,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,19
15,2019-05-14,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,20
16,2019-05-21,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,21
17,2019-05-28,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,22
18,2019-06-11,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,24
19,2019-07-09,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,28
20,2019-07-16,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,29
21,2019-07-23,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,30
22,2019-07-30,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,31
23,2019-08-06,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,32
24,2019-08-13,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,33
25,2019-08-27,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,35
26,2019-09-10,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,37
27,2019-09-24,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,39
28,2019-10-01,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,40
29,2019-10-15,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,42
30,2019-11-26,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,48
31,2019-12-17,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,51
32,2019-12-24,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,52
0,2020-01-07,F20111009,塑膠彎盆,500-600cc,個,T,10.0,,0.0,10.0,10.0,0.0,2
1,2020-03-03,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,10
2,2020-03-17,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,12
3,2020-06-02,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,23
4,2020-06-16,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,25
5,2020-07-06,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,28
6,2020-07-14,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,29
7,2020-08-11,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,33
8,2020-10-06,F20111009,塑膠彎盆,500-600cc,個,T,10.0,0.0,0.0,10.0,10.0,0.0,41
