,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-03-05,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,10
1,2019-03-19,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,3.0,3.0,0.0,12
2,2019-03-26,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,10.0,10.0,0.0,13
3,2019-05-07,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,19
4,2019-05-21,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,21
5,2019-05-28,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,22
6,2019-06-04,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,23
7,2019-06-25,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,26
8,2019-07-02,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,10.0,10.0,0.0,27
9,2019-07-09,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,10.0,10.0,0.0,28
10,2019-08-13,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,10.0,10.0,0.0,33
11,2019-08-27,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,35
12,2019-09-10,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,3.0,3.0,0.0,37
13,2019-10-15,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,10.0,10.0,0.0,42
14,2019-11-26,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,48
15,2019-12-03,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,49
16,2019-12-17,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,51
0,2020-01-07,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,,0.0,20.0,20.0,0.0,2
1,2020-03-17,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,12
2,2020-06-16,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,10.0,10.0,0.0,25
3,2020-07-06,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,10.0,10.0,0.0,28
4,2020-07-14,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,20.0,20.0,0.0,29
5,2020-10-06,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,41
6,2020-10-13,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,42
7,2020-11-10,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,46
8,2020-11-17,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,15.0,15.0,0.0,47
0,2021-01-07,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,1
1,2021-01-12,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,5.0,5.0,0.0,2
2,2021-01-19,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,10.0,10.0,0.0,3
3,2021-01-26,G80503107,綠頭Heparin管(真空無菌),受容量5ml採血量4ml,支,T,20.0,0.0,0.0,10.0,10.0,0.0,4
