,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-29,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,5
1,2019-02-19,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,8
2,2019-03-05,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,10
3,2019-03-12,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,20.0,20.0,0.0,11
4,2019-04-11,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,40.0,40.0,0.0,15
5,2019-04-16,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,20.0,20.0,0.0,16
6,2019-05-21,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,21
7,2019-06-04,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,23
8,2019-06-11,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,24
9,2019-06-18,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,5.0,5.0,0.0,25
10,2019-07-16,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,29
11,2019-08-13,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,33
12,2019-08-27,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,30.0,30.0,0.0,35
13,2019-09-17,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,20.0,20.0,0.0,38
14,2019-10-01,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,20.0,20.0,0.0,40
15,2019-10-29,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,44
16,2019-11-12,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,20.0,20.0,0.0,46
17,2019-11-26,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,48
18,2019-12-17,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,20.0,20.0,0.0,51
0,2020-02-18,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,8
1,2020-06-16,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,20.0,20.0,0.0,25
2,2020-07-14,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,20.0,20.0,0.0,29
3,2020-08-11,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,33
4,2020-08-25,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,10.0,10.0,0.0,35
5,2020-09-25,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,50.0,0.0,0.0,30.0,30.0,0.0,39
