,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-07-02,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,5.0,5.0,0.0,27
1,2019-07-16,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,29
2,2019-08-13,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,33
3,2019-08-20,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,34
4,2019-08-27,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,35
5,2019-09-03,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,36
6,2019-09-17,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,38
7,2019-10-08,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,41
8,2019-10-29,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,44
9,2019-11-05,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,45
10,2019-11-12,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,46
11,2019-12-24,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,52
0,2020-01-07,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,,0.0,3.0,3.0,0.0,2
1,2020-05-19,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,21
2,2020-05-26,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,22
3,2020-06-16,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,25
4,2020-07-06,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,5.0,5.0,0.0,28
5,2020-07-16,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,29
6,2020-07-21,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,5.0,5.0,0.0,30
7,2020-08-11,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,3.0,3.0,0.0,33
8,2020-09-08,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,3.0,3.0,0.0,37
9,2020-09-15,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,38
10,2020-09-22,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,39
11,2020-12-08,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,50
0,2021-01-07,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,5.0,5.0,0.0,1
1,2021-01-12,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,2
2,2021-01-19,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,5.0,5.0,0.0,3
3,2021-01-26,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,3.0,3.0,0.0,4
4,2021-02-23,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,8
5,2021-03-09,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,10
6,2021-03-16,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,11
7,2021-03-30,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,13
8,2021-04-08,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,14
9,2021-04-13,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,3.0,3.0,0.0,15
10,2021-06-01,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,3.0,3.0,0.0,22
11,2021-07-13,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,28
12,2021-07-23,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,29
13,2021-07-29,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,30
14,2021-08-05,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,2.0,2.0,0.0,31
15,2021-08-10,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,32
16,2021-09-07,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,3.0,3.0,0.0,36
17,2021-09-14,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,37
18,2021-10-05,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,5.0,0.0,0.0,1.0,1.0,0.0,40
