,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-08,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,50.0,50.0,0.0,2
1,2019-01-29,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,5
2,2019-02-19,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,8
3,2019-02-26,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,9
4,2019-03-12,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,11
5,2019-03-19,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,12
6,2019-03-26,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,13
7,2019-04-02,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,14
8,2019-04-09,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,15
9,2019-04-23,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,17
10,2019-04-30,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,18
11,2019-05-07,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,19
12,2019-05-14,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,20
13,2019-05-21,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,21
14,2019-05-28,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,22
15,2019-06-18,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,25
16,2019-06-25,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,26
17,2019-07-02,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,27
18,2019-07-09,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,28
19,2019-07-23,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,30
20,2019-07-30,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,31
21,2019-08-13,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,33
22,2019-08-20,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,34
23,2019-09-10,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,37
24,2019-09-24,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,50.0,50.0,0.0,39
25,2019-10-15,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,42
26,2019-10-22,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,43
27,2019-10-29,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,44
28,2019-11-19,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,47
29,2019-11-26,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,48
30,2019-12-10,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,25.0,25.0,0.0,50
31,2019-12-17,U00611003,病患識別帶，大人用,粉紅色,個,T,50.0,0.0,0.0,50.0,50.0,0.0,51
