,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-11,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,15.0,15.0,0.0,2
1,2019-01-22,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,10.0,10.0,0.0,4
2,2019-02-19,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,5.0,5.0,0.0,8
3,2019-03-12,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,5.0,5.0,0.0,11
4,2019-07-16,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,5.0,5.0,0.0,29
5,2019-07-18,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,5.0,5.0,0.0,29
6,2019-08-06,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,10.0,10.0,0.0,32
7,2019-10-29,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,10.0,10.0,0.0,44
8,2019-12-03,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,5.0,5.0,0.0,49
9,2019-12-06,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,10.0,10.0,0.0,49
10,2019-12-31,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,15.0,15.0,0.0,1
0,2020-02-11,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,25.0,25.0,0.0,7
1,2020-03-03,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,10.0,10.0,0.0,10
2,2020-08-11,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,10.0,10.0,0.0,33
3,2020-08-25,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,10.0,10.0,0.0,35
0,2021-01-07,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,15.0,15.0,0.0,1
1,2021-12-07,Z24109584,加長調劑防護衣,50PK/CS(羅紋袖),件,T,25.0,0.0,0.0,10.0,10.0,0.0,49
