,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-12-10,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,50.0,50.0,0.0,50
0,2020-01-23,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,,0.0,200.0,200.0,0.0,4
1,2020-02-22,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,-150.0,-150.0,0.0,8
2,2020-03-04,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,100.0,100.0,0.0,10
3,2020-03-24,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,300.0,300.0,0.0,13
4,2020-03-28,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,200.0,200.0,0.0,13
5,2020-03-31,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,1000.0,1000.0,0.0,14
6,2020-06-03,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,-450.0,-450.0,0.0,23
0,2021-05-17,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,50.0,50.0,0.0,20
1,2021-05-19,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,200.0,200.0,0.0,20
2,2021-05-21,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,200.0,200.0,0.0,20
3,2021-05-25,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,100.0,100.0,0.0,21
4,2021-06-11,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,200.0,200.0,0.0,23
5,2021-06-29,Z26720137,鞋套:止滑 18〞16〞14〞,50雙/包,雙,T,50.0,0.0,0.0,50.0,50.0,0.0,26
