,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-15,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,1.0,1.0,0.0,3
1,2019-01-18,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,3
2,2019-01-22,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,4
3,2019-02-12,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,7
4,2019-02-19,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,8
5,2019-03-05,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,10
6,2019-03-19,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,3.0,3.0,0.0,12
7,2019-03-28,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,13
8,2019-04-09,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,15
9,2019-04-30,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,18
10,2019-05-07,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,19
11,2019-05-21,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,21
12,2019-06-04,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,23
13,2019-06-11,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,24
14,2019-07-02,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,1.0,1.0,0.0,27
15,2019-07-23,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,3.0,3.0,0.0,30
16,2019-07-28,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,-1.0,-1.0,0.0,30
17,2019-08-06,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,32
18,2019-08-27,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,35
19,2019-09-10,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,3.0,3.0,0.0,37
20,2019-09-10,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,3.0,3.0,0.0,37
21,2019-11-05,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,1.0,1.0,0.0,45
22,2019-12-03,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,3.0,3.0,0.0,49
23,2019-12-10,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,1.0,1.0,0.0,50
24,2019-12-24,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,6.0,6.0,0.0,52
0,2020-01-18,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,3
1,2020-01-21,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,4
2,2020-02-04,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,6
3,2020-02-25,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,9
4,2020-03-10,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,11
5,2020-03-24,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,13
6,2020-03-31,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,14
7,2020-04-07,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,15
8,2020-04-14,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,16
9,2020-04-21,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,17
10,2020-06-02,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,23
11,2020-06-16,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,25
12,2020-07-21,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,30
13,2020-08-11,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,33
14,2020-08-25,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,35
15,2020-09-01,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,3.0,3.0,0.0,36
16,2020-09-22,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,39
17,2020-09-29,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,1.0,1.0,0.0,40
18,2020-10-13,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,3.0,3.0,0.0,42
19,2020-10-20,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,3.0,3.0,0.0,43
20,2020-11-02,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,45
21,2020-11-10,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,1.0,1.0,0.0,46
22,2020-11-17,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,3.0,3.0,0.0,47
23,2020-12-01,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,1.0,1.0,0.0,49
24,2020-12-08,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,50
25,2020-12-29,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,53
0,2021-01-04,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,1.0,1.0,0.0,1
1,2021-01-12,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,1.0,1.0,0.0,2
2,2021-01-19,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,3
3,2021-02-02,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,5
4,2021-03-16,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,11
5,2021-03-30,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,13
6,2021-04-06,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,14
7,2021-04-13,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,15
8,2021-04-27,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,1.0,1.0,0.0,17
9,2021-05-04,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,18
10,2021-05-12,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,19
11,2021-05-25,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,21
12,2021-06-08,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,23
13,2021-06-15,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,1.0,1.0,0.0,24
14,2021-06-23,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,25
15,2021-07-13,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,28
16,2021-07-29,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,30
17,2021-08-05,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,31
18,2021-08-17,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,4.0,4.0,0.0,33
19,2021-08-24,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,34
20,2021-08-31,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,35
21,2021-09-14,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,37
22,2021-09-20,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,38
23,2021-09-28,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,39
24,2021-10-05,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,40
25,2021-10-26,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,43
26,2021-11-02,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,44
27,2021-11-09,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,45
28,2021-12-07,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,49
29,2021-12-16,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,50
30,2021-12-22,B04904105,舒軟膠布,100mm*10M,卷,T,4.0,0.0,0.0,2.0,2.0,0.0,51
