,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-08,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,2
1,2019-01-22,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,4
2,2019-01-29,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,5
3,2019-02-12,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,7
4,2019-02-19,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,8
5,2019-02-26,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,9
6,2019-03-05,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,10
7,2019-03-12,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,11
8,2019-03-19,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,12
9,2019-03-23,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,-5.0,-5.0,0.0,12
10,2019-03-26,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,13
11,2019-04-02,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,14
12,2019-04-09,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,15
13,2019-04-19,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,16
14,2019-04-23,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,17
15,2019-04-27,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,2.0,2.0,0.0,17
16,2019-04-30,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,18
17,2019-05-03,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,6.0,6.0,0.0,18
18,2019-05-09,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,19
19,2019-05-14,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,20
20,2019-05-28,B13332005,塑膠 P.E.手套，未消毒，單支,100支/盒 150盒/箱,盒,T,5.0,0.0,0.0,5.0,5.0,0.0,22
