,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-06-21,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,25
1,2019-07-16,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,29
2,2019-12-24,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,52
0,2020-01-14,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,2.0,2.0,0.0,3
1,2020-03-31,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,14
2,2020-07-14,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,29
3,2020-07-28,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,31
4,2020-09-01,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,36
5,2020-11-24,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,48
0,2021-01-19,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,3
1,2021-03-30,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,13
2,2021-04-20,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,8.0,8.0,0.0,16
3,2021-05-04,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,18
4,2021-06-01,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,22
5,2021-06-15,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,24
6,2021-07-13,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,15.0,15.0,0.0,28
7,2021-07-23,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,30.0,30.0,0.0,29
8,2021-07-29,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,20.0,20.0,0.0,30
9,2021-08-05,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,20.0,20.0,0.0,31
10,2021-08-24,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,20.0,20.0,0.0,34
11,2021-10-26,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,43
12,2021-11-16,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,20.0,20.0,0.0,46
13,2021-11-23,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,47
14,2021-12-16,G80502057,灰頭血糖管(真空無菌),受容量5ml採血量2-4ml,支,T,100.0,0.0,0.0,10.0,10.0,0.0,50
