,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-03,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,30.0,30.0,0.0,1
1,2019-01-08,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,30.0,30.0,0.0,2
2,2019-01-15,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,30.0,30.0,0.0,3
3,2019-01-22,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,30.0,30.0,0.0,4
4,2019-01-29,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,30.0,30.0,0.0,5
5,2019-03-26,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,30.0,30.0,0.0,13
6,2019-04-09,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,20.0,20.0,0.0,15
7,2019-04-16,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,20.0,20.0,0.0,16
8,2019-04-30,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,20.0,20.0,0.0,18
9,2019-05-07,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,10.0,10.0,0.0,19
10,2019-05-14,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,10.0,10.0,0.0,20
11,2019-05-21,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,30.0,30.0,0.0,21
12,2019-06-04,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,10.0,10.0,0.0,23
13,2019-06-11,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,10.0,10.0,0.0,24
14,2019-06-18,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,30.0,30.0,0.0,25
15,2019-06-25,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,20.0,20.0,0.0,26
16,2019-07-02,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,10.0,10.0,0.0,27
17,2019-07-09,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,20.0,20.0,0.0,28
18,2019-07-16,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,20.0,20.0,0.0,29
19,2019-07-23,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,30.0,30.0,0.0,30
20,2019-07-30,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,20.0,20.0,0.0,31
21,2019-08-13,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,10.0,10.0,0.0,33
22,2019-08-20,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,10.0,10.0,0.0,34
23,2019-09-10,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,30.0,30.0,0.0,37
24,2019-09-17,K80001908,定量尿沈渣離心管-(紅蓋管),100支/包,支,T,30.0,0.0,0.0,30.0,30.0,0.0,38
