,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-03,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,100.0,100.0,0.0,1
1,2019-01-08,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,2
2,2019-01-15,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,3
3,2019-01-29,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,100.0,100.0,0.0,5
4,2019-01-31,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,200.0,200.0,0.0,5
5,2019-06-11,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,24
6,2019-06-25,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,26
7,2019-07-01,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,100.0,100.0,0.0,27
8,2019-08-20,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,34
9,2019-08-25,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,-45.0,-45.0,0.0,34
10,2019-09-03,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,36
11,2019-09-10,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,37
12,2019-09-24,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,39
13,2019-09-03,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,36
14,2019-09-10,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,37
15,2019-09-24,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,39
16,2019-12-03,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,49
17,2019-12-10,K80004028,SST(Yellow)管,5ml 100EA/Bx,支,T,50.0,0.0,0.0,50.0,50.0,0.0,50
