,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-07-09,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,28
1,2019-07-16,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,3.0,3.0,0.0,29
2,2019-08-13,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,33
3,2019-09-03,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,36
4,2019-09-03,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,36
5,2019-11-05,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,3.0,3.0,0.0,45
0,2020-03-17,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,12
1,2020-03-31,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,14
2,2020-04-07,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,15
3,2020-07-06,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,2.0,2.0,0.0,28
4,2020-07-16,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,29
5,2020-08-18,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,34
6,2020-09-01,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,36
7,2020-09-08,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,37
8,2020-09-29,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,40
9,2020-10-13,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,42
10,2020-12-08,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,50
0,2021-02-09,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,6
1,2021-04-06,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,14
2,2021-05-22,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,20
3,2021-05-25,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,21
4,2021-06-15,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,3.0,3.0,0.0,24
5,2021-06-26,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,-4.0,-4.0,0.0,25
6,2021-07-20,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,29
7,2021-08-17,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,33
8,2021-09-07,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,36
9,2021-09-28,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,39
10,2021-10-05,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,40
11,2021-10-12,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,41
12,2021-10-19,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,42
13,2021-11-02,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,44
14,2021-11-16,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,46
15,2021-11-30,T04300024,噴霧瓶,氧氣濃度28-98% 24/BX,個,T,4.0,0.0,0.0,4.0,4.0,0.0,48
