,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-15,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,3
1,2019-01-22,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,4
2,2019-02-14,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,10.0,10.0,0.0,7
3,2019-03-05,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,10
4,2019-03-19,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,12
5,2019-04-02,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,14
6,2019-04-09,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,15
7,2019-04-16,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,16
8,2019-04-23,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,17
9,2019-04-30,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,18
10,2019-05-03,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,10.0,10.0,0.0,18
11,2019-06-04,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,23
12,2019-07-02,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,10.0,10.0,0.0,27
13,2019-08-27,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,35
14,2019-09-03,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,36
15,2019-09-10,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,37
