,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-08,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,2
1,2019-01-15,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,3
2,2019-01-22,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,4
3,2019-01-29,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,5
4,2019-02-12,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,7
5,2019-02-19,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,8
6,2019-02-26,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,9
7,2019-03-19,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,12
8,2019-03-26,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,13
9,2019-04-16,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,16
10,2019-05-07,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,19
11,2019-06-05,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,50.0,50.0,0.0,23
12,2019-06-11,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,24
13,2019-06-18,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,25
14,2019-06-25,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,26
15,2019-07-09,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,28
16,2019-07-16,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,29
17,2019-07-23,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,30
18,2019-07-30,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,31
19,2019-08-20,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,34
20,2019-09-03,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,36
21,2019-09-17,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,38
22,2019-09-24,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,39
23,2019-09-03,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,36
24,2019-09-17,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,38
25,2019-09-24,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,39
26,2019-11-05,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,45
27,2019-11-12,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,46
28,2019-11-19,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,47
29,2019-11-26,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,48
30,2019-12-03,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,49
31,2019-12-24,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,52
0,2020-01-07,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,2
1,2020-01-14,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,3
2,2020-01-21,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,4
3,2020-02-04,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,6
4,2020-02-18,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,8
5,2020-02-25,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,9
6,2020-03-10,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,11
7,2020-03-24,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,13
8,2020-04-07,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,15
9,2020-04-14,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,16
10,2020-04-21,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,17
11,2020-05-12,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,20
12,2020-06-02,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,23
13,2020-06-30,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,27
14,2020-07-06,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,28
15,2020-07-14,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,29
16,2020-07-21,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,30
17,2020-08-11,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,33
18,2020-09-01,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,36
19,2020-09-22,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,39
20,2020-10-21,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,100.0,100.0,0.0,43
21,2020-10-27,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,44
22,2020-11-02,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,45
23,2020-11-10,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,46
24,2020-11-17,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,47
25,2020-12-01,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,49
26,2020-12-29,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,53
0,2021-01-19,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,3
1,2021-01-26,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,4
2,2021-02-02,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,5
3,2021-02-09,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,6
4,2021-03-02,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,9
5,2021-04-08,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,50.0,50.0,0.0,14
6,2021-04-13,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,15
7,2021-04-20,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,16
8,2021-04-27,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,17
9,2021-05-04,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,18
10,2021-05-12,U00611003,病患識別帶，大人用,粉紅色,個,T,25.0,0.0,0.0,25.0,25.0,0.0,19
