,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-31,V00500012,超音波傳導膠,250ml/瓶,瓶,T,1.0,0.0,0.0,3.0,3.0,0.0,5
1,2019-07-23,V00500012,超音波傳導膠,250ml/瓶,瓶,T,1.0,0.0,0.0,1.0,1.0,0.0,30
2,2019-08-27,V00500012,超音波傳導膠,250ml/瓶,瓶,T,1.0,0.0,0.0,3.0,3.0,0.0,35
0,2020-08-18,V00500012,超音波傳導膠,250ml/瓶,瓶,T,1.0,0.0,0.0,1.0,1.0,0.0,34
1,2020-10-20,V00500012,超音波傳導膠,250ml/瓶,瓶,T,1.0,0.0,0.0,1.0,1.0,0.0,43
2,2020-12-22,V00500012,超音波傳導膠,250ml/瓶,瓶,T,1.0,0.0,0.0,1.0,1.0,0.0,52
3,2020-12-29,V00500012,超音波傳導膠,250ml/瓶,瓶,T,1.0,0.0,0.0,1.0,1.0,0.0,53
0,2021-01-04,V00500012,超音波傳導膠,250ml/瓶,瓶,T,1.0,0.0,0.0,1.0,1.0,0.0,1
1,2021-01-26,V00500012,超音波傳導膠,250ml/瓶,瓶,T,1.0,0.0,0.0,1.0,1.0,0.0,4
2,2021-05-18,V00500012,超音波傳導膠,250ml/瓶,瓶,T,1.0,0.0,0.0,1.0,1.0,0.0,20
3,2021-11-30,V00500012,超音波傳導膠,250ml/瓶,瓶,T,1.0,0.0,0.0,1.0,1.0,0.0,48
